"species","Long","Lat","Family","FAO_AREA","Year"
"1","Abudefduf septemfasciatus",-151.733594,-16.54353,"Pomacentridae"," 77",2014
"2","Abudefduf septemfasciatus",-159.77612,-18.82288,"Pomacentridae"," 77",2017
"3","Abudefduf septemfasciatus",-145.461977,-16.51471,"Pomacentridae"," 77",2018
"4","Abudefduf septemfasciatus",-150.990084,-16.81633,"Pomacentridae"," 77",2016
"5","Abudefduf septemfasciatus",-169.651931,-14.17711,"Pomacentridae"," 77",2017
"6","Abudefduf sexfasciatus",-175.193615,-21.13447,"Pomacentridae"," 71",2021
"7","Abudefduf sexfasciatus",-176.214195,-13.38423,"Pomacentridae"," 71",2021
"8","Abudefduf sexfasciatus",-175.171035,-21.13962,"Pomacentridae"," 71",2021
"9","Abudefduf sexfasciatus",-174.046355,-18.69992,"Pomacentridae"," 77",2018
"10","Abudefduf sexfasciatus",-174.4822,-19.9607,"Pomacentridae"," 77",2012
"11","Abudefduf sexfasciatus",-151.732907,-16.54353,"Pomacentridae"," 77",2014
"12","Abudefduf sexfasciatus",-159.730149,-21.26263,"Pomacentridae"," 77",2021
"13","Abudefduf sexfasciatus",-147.638681,-14.97105,"Pomacentridae"," 77",2019
"14","Abudefduf sexfasciatus",-174.383,-19.28,"Pomacentridae"," 77",1993
"15","Abudefduf sexfasciatus",-159.729188,-21.26432,"Pomacentridae"," 77",2021
"16","Abudefduf sexfasciatus",-151.769222,-16.52951,"Pomacentridae"," 77",2013
"17","Abudefduf sexfasciatus",-151.037581,-16.72912,"Pomacentridae"," 77",2017
"18","Abudefduf sexfasciatus",-147.633329,-14.97799,"Pomacentridae"," 77",2019
"19","Abudefduf sexfasciatus",-147.633333,-14.97667,"Pomacentridae"," 77",2021
"20","Abudefduf sordidus",-175.152405,-21.26731,"Pomacentridae"," 71",2021
"21","Abudefduf sordidus",-175.171123,-21.13957,"Pomacentridae"," 71",2021
"22","Abudefduf sordidus",-151.732564,-16.54419,"Pomacentridae"," 77",2014
"23","Abudefduf sordidus",-139.13,-9.99864,"Pomacentridae"," 77",2011
"24","Abudefduf sordidus",-159.758774,-21.27341,"Pomacentridae"," 77",2013
