"species","Long","Lat","Family","FAO_AREA","Year"
"1","Acanthocybium solandri",-95.16667,-1.95,"Scombridae"," 87",2005
"2","Anoplogaster cornuta",-105,-8,"Anoplogastridae"," 87",1993
"3","Apogon atradorsatus",-91.4816667,-4.1333333,"Apogonidae"," 87",1998
"4","Apogon atradorsatus",-91.48167,-4.133333,"Apogonidae"," 87",1998
"5","Argyropelecus lychnus",-103.9833,9.535,"Sternoptychidae"," 77",1992
"6","Argyropelecus lychnus",-103.88,9.541667,"Sternoptychidae"," 77",1992
"7","Ariosoma gilberti",-103.79,10.44333,"Congridae"," 77",1992
"8","Auxis brachydorax",-99.85,7.85,"Scombridae"," 77",1991
"9","Auxis brachydorax",-99.8000030518,7.80000019073,"Scombridae"," 77",1991
"10","Auxis brachydorax",-99.8,7.8,"Scombridae"," 77",1991
"13","Bassozetus nasus",-116.7241,12.5778,"Ophidiidae"," 77",2015
"14","Bassozetus nasus",-116.4677,13.7603,"Ophidiidae"," 77",2013
"15","Bassozetus nasus",-116.5386,12.5532,"Ophidiidae"," 77",2015
"16","Bathophilus filifer",-103.6767,10.46167,"Stomiidae"," 77",1992
"17","Bathophilus filifer",-103.6766667,10.4616667,"Stomiidae"," 77",1992
"18","Bathyonus caudalis",-114.4144,13.6794,"Ophidiidae"," 77",2013
"19","Bathyonus caudalis",-116.6219,12.5126,"Ophidiidae"," 77",2015
"20","Bathysaurus mollis",-116.5484,13.8618,"Bathysauridae"," 77",2013
"21","Bathysaurus mollis",-116.7246,12.5787,"Bathysauridae"," 77",2015
"23","Borostomias panamensis",-111.6,8.966667,"Stomiidae"," 77",2000
"24","Borostomias panamensis",-111.6,8.9666667,"Stomiidae"," 77",2000
"25","Canthidermis maculata",-142,7.63333,"Balistidae"," 77",1997
"31","Cheilopogon atrisignis",-111.3167,15.01667,"Exocoetidae"," 77",1999
"32","Cheilopogon atrisignis",-117.5,16.86667,"Exocoetidae"," 77",1988
"33","Cheilopogon dorsomacula",-103.3,12.1,"Exocoetidae"," 77",1989
"34","Cheilopogon dorsomacula",-104.2333333,7.2333333,"Exocoetidae"," 77",1988
"35","Cheilopogon dorsomacula",-126.4333333,9.5666667,"Exocoetidae"," 77",1988
"36","Cheilopogon dorsomacula",-100.0167,6.95,"Exocoetidae"," 77",1990
"37","Cheilopogon dorsomacula",-123.5167,-2.5,"Exocoetidae"," 77",1990
"38","Cheilopogon dorsomacula",-97.46667,7.65,"Exocoetidae"," 77",1990
"39","Cheilopogon dorsomacula",-126.4333,9.566667,"Exocoetidae"," 77",1988
"40","Cheilopogon dorsomacula",-110.0167,5.05,"Exocoetidae"," 77",1988
"41","Cheilopogon dorsomacula",-127.1833333,6.6666667,"Exocoetidae"," 77",1988
"42","Cheilopogon dorsomacula",-109.8667,14.28333,"Exocoetidae"," 77",1989
"43","Cheilopogon dorsomacula",-117.2333,16.83333,"Exocoetidae"," 77",1989
"44","Cheilopogon dorsomacula",-109.3,10.56667,"Exocoetidae"," 77",1999
"45","Cheilopogon dorsomacula",-104.966667,-2.083333,"Exocoetidae"," 87",2006
"46","Cheilopogon dorsomacula",-95.55,1.95,"Exocoetidae"," 87",1987
"47","Cheilopogon dorsomacula",-87.4,-8.866667,"Exocoetidae"," 87",1998
"48","Cheilopogon dorsomacula",-102.28333,3.88333,"Exocoetidae"," 87",2006
"49","Cheilopogon dorsomacula",-94.81667,2.066667,"Exocoetidae"," 87",1992
"50","Cheilopogon dorsomacula",-95.05,1.4,"Exocoetidae"," 87",1990
"51","Cheilopogon dorsomacula",-104.9667,-2.083333,"Exocoetidae"," 87",2006
"52","Cheilopogon dorsomacula",-102.2833,3.88333,"Exocoetidae"," 87",2006
"53","Cheilopogon dorsomacula",-118.35,-1.933333,"Exocoetidae"," 87",1989
"54","Cheilopogon dorsomacula",-100.9333,-2.4,"Exocoetidae"," 87",2006
"55","Cheilopogon furcatus",-119.2667,20.06667,"Exocoetidae"," 77",1987
"56","Cheilopogon furcatus",-110,-2,"Exocoetidae"," 87",1986
"57","Cheilopogon furcatus",-94.8166667,2.0666667,"Exocoetidae"," 87",1992
"58","Cheilopogon furcatus",-99.6166667,-9.7666667,"Exocoetidae"," 87",2000
"59","Cheilopogon furcatus",-110,3,"Exocoetidae"," 87",1986
"60","Cheilopogon furcatus",-113.9166667,4.2833333,"Exocoetidae"," 87",1986
"61","Cheilopogon furcatus",-110,-3,"Exocoetidae"," 87",1986
"62","Cheilopogon furcatus",-99.61667,-9.766667,"Exocoetidae"," 87",2000
"63","Cheilopogon furcatus",-96.9,-6.15,"Exocoetidae"," 87",1987
"64","Cheilopogon furcatus",-102.7,-5.383333,"Exocoetidae"," 87",1988
"65","Cheilopogon furcatus",-116.2917,2.891667,"Exocoetidae"," 87",1986
"68","Cheilopogon hubbsi",-117.4833333,7.9166667,"Exocoetidae"," 77",1986
"69","Cheilopogon hubbsi",-117.4833,7.916667,"Exocoetidae"," 77",1986
"71","Cheilopogon papilio",-101.5,9.266667,"Exocoetidae"," 77",1999
"72","Cheilopogon spilonotopterus",-119,11.53333,"Exocoetidae"," 77",1998
"73","Cheilopogon spilonotopterus",-119.95,14.41667,"Exocoetidae"," 77",1999
"75","Cheilopogon xenopterus",-114.3,6.9,"Exocoetidae"," 77",2003
"76","Cheilopogon xenopterus",-104.3833333,6.4833333,"Exocoetidae"," 77",2006
"77","Cheilopogon xenopterus",-104.3833,6.483333,"Exocoetidae"," 77",2006
"78","Cheilopogon xenopterus",-98.46667,9.683333,"Exocoetidae"," 77",1998
"79","Cheilopogon xenopterus",-102.0333,10.26667,"Exocoetidae"," 77",2000
"80","Cheilopogon xenopterus",-101.3667,7.25,"Exocoetidae"," 77",2006
"81","Cheilopogon xenopterus",-100.75,6.4,"Exocoetidae"," 77",2000
"82","Cheilopogon xenopterus",-110.1,13.95,"Exocoetidae"," 77",2006
"83","Cheilopogon xenopterus",-113.1667,8.25,"Exocoetidae"," 77",2006
"84","Cheilopogon xenopterus",-104.5667,12.56667,"Exocoetidae"," 77",2007
"85","Cheilopogon xenopterus",-98.4666667,9.6833333,"Exocoetidae"," 77",1998
"86","Cheilopogon xenopterus",-111.3167,10.43333,"Exocoetidae"," 77",1998
"87","Cheilopogon xenopterus",-102.0333333,10.2666667,"Exocoetidae"," 77",2000
"88","Cheilopogon xenopterus",-105.2166667,7.7833333,"Exocoetidae"," 77",1986
"89","Cheilopogon xenopterus",-95.316667,7.066667,"Exocoetidae"," 77",2006
"90","Cheilopogon xenopterus",-111.3166667,10.4333333,"Exocoetidae"," 77",1998
"91","Cheilopogon xenopterus",-99.33333,-2.533333,"Exocoetidae"," 87",2006
"92","Cheilopogon xenopterus",-100.933333,-2.4,"Exocoetidae"," 87",2006
"93","Cheilopogon xenopterus",-99.333333,-2.533333,"Exocoetidae"," 87",2006
"94","Cheilopogon xenopterus",-107.583333,-1.9,"Exocoetidae"," 87",2006
"95","Cheilopogon xenopterus",-96.825,1.541667,"Exocoetidae"," 87",1986
"96","Cheilopogon xenopterus",-107.5833,-1.9,"Exocoetidae"," 87",2006
"97","Cheilopogon xenopterus",-112.9333,3.883333,"Exocoetidae"," 87",1990
"98","Chiasmodon niger",-104.3683,8.996667,"Chiasmodontidae"," 77",1988
"99","Chiasmodon niger",-104.3683333,8.9966667,"Chiasmodontidae"," 77",1988
"100","Chromis ternatensis",-123.7733333,9.8730553,"Pomacentridae"," 77",1987
"101","Chromis ternatensis",-123.7733,9.873055,"Pomacentridae"," 77",1987
"102","Coryphaena equiselis",-115.8833,6.516667,"Coryphaenidae"," 77",1998
"103","Coryphaena equiselis",-113.8833,13.78333,"Coryphaenidae"," 77",1990
"104","Coryphaena equiselis",-139.7,4.983333,"Coryphaenidae"," 77",1988
"105","Coryphaena equiselis",-110.8,7.95,"Coryphaenidae"," 77",1999
"106","Coryphaena equiselis",-125.7333,-2.3,"Coryphaenidae"," 77",1987
"107","Coryphaena equiselis",-119.2667,7.05,"Coryphaenidae"," 77",1999
"108","Coryphaena equiselis",-111.4833,13.68333,"Coryphaenidae"," 77",2000
"109","Coryphaena equiselis",-105.7167,10.76667,"Coryphaenidae"," 77",2000
"110","Coryphaena equiselis",-141.7333,8.25,"Coryphaenidae"," 77",2000
"111","Coryphaena equiselis",-105.7166667,10.7666667,"Coryphaenidae"," 77",2000
"112","Coryphaena equiselis",-138.2666667,5.0833333,"Coryphaenidae"," 77",2000
"113","Coryphaena equiselis",-124.75,8.233333,"Coryphaenidae"," 77",1989
"114","Coryphaena equiselis",-115.8833333,6.5166667,"Coryphaenidae"," 77",1998
"115","Coryphaena equiselis",-136.35,8.016667,"Coryphaenidae"," 77",2000
"116","Coryphaena equiselis",-118.0833,14.06667,"Coryphaenidae"," 77",2003
"117","Coryphaena equiselis",-100.45,8.8,"Coryphaenidae"," 77",2000
"118","Coryphaena equiselis",-108.2333,11.03333,"Coryphaenidae"," 77",2000
"119","Coryphaena equiselis",-107.8667,13.06667,"Coryphaenidae"," 77",1990
"120","Coryphaena equiselis",-110.2833,9.516667,"Coryphaenidae"," 77",2000
"121","Coryphaena equiselis",-110.2833333,9.5166667,"Coryphaenidae"," 77",2000
"122","Coryphaena equiselis",-98.33333,6.333333,"Coryphaenidae"," 77",2003
"123","Coryphaena equiselis",-110.0833,14.51667,"Coryphaenidae"," 77",2000
"124","Coryphaena equiselis",-114.8,16.83333,"Coryphaenidae"," 77",2003
"125","Coryphaena equiselis",-106.9,7.533333,"Coryphaenidae"," 77",2003
"126","Coryphaena equiselis",-95.71667,6.45,"Coryphaenidae"," 77",2003
"127","Coryphaena equiselis",-105.8333333,-5.3833333,"Coryphaenidae"," 87",1990
