"species","Long","Lat","Family","FAO_AREA","Year"
"1","Agonopsis chiloensis",-71.5688,-30.2584,"Agonidae"," 87",2011
"2","Agonopsis chiloensis",-71.4653,-29.2458,"Agonidae"," 87",2014
"3","Agonopsis chiloensis",-71.5761,-30.2682,"Agonidae"," 87",2011
"4","Aldrovandia phalacra",-71.73300171,-31.64999962,"Halosauridae"," 87",1980
"5","Antimora rostrata",-72.23300171,-34,"Moridae"," 87",1980
"6","Antimora rostrata",-71.93299866,-33.2159996,"Moridae"," 87",1980
"7","Antimora rostrata",-71.78299713,-32.08800125,"Moridae"," 87",1980
"8","Antimora rostrata",-72.34999847,-34.11600113,"Moridae"," 87",1980
"9","Aphos porosus",-71.5688,-30.2584,"Batrachoididae"," 87",2011
"10","Aphos porosus",-72.779033,-35.544152,"Batrachoididae"," 87",1996
"11","Aphos porosus",-71.9566,-30.2616,"Batrachoididae"," 87",2011
"12","Aphos porosus",-72.934561,-36.54099,"Batrachoididae"," 87",2017
"13","Aphos porosus",-71.3028,-29.9185,"Batrachoididae"," 87",2011
"14","Aphos porosus",-71.3256,-29.4323,"Batrachoididae"," 87",2011
"15","Aphos porosus",-71.5761,-30.2682,"Batrachoididae"," 87",2011
"16","Aplodactylus punctatus",-73.364,-36.481,"Aplodactylidae"," 87",2007
"17","Aplodactylus punctatus",-73.21107,-36.77195,"Aplodactylidae"," 87",2018
"18","Auchenionchus crinitus",-71.533333,-32.78333,"Labrisomidae"," 87",1987
"19","Auchenionchus microcirrhis",-71.5333333,-32.7833333,"Labrisomidae"," 87",1987
"20","Auchenionchus variolosus",-71.55,-32.95833,"Labrisomidae"," 87",1987
"23","Bovichtus chilensis",-71.8333358765,-33.0833320618,"Bovichtidae"," 87",1989
"24","Bovichtus chilensis",-71.5,-30,"Bovichtidae"," 87",1987
"25","Bovichtus chilensis",-71.516667,-32.78333,"Bovichtidae"," 87",1985
"26","Bovichtus chilensis",-72.913167,-36.47644,"Bovichtidae"," 87",2019
"27","Bovichtus chilensis",-71.6914,-30.4431,"Bovichtidae"," 87",2014
"28","Bovichtus chilensis",-73.43,-39.84,"Bovichtidae"," 87",1991
"29","Bovichtus chilensis",-73.4333,-39.85,"Bovichtidae"," 87",1984
"30","Bovichtus chilensis",-71.549709,-32.956851,"Bovichtidae"," 87",1998
"31","Bovichtus chilensis",-71.5333333,-32.7833333,"Bovichtidae"," 87",1987
"32","Calliclinus geniguttatus",-71.549709,-32.95685,"Labrisomidae"," 87",1998
"33","Calliclinus geniguttatus",-72.4645,-42.3237,"Labrisomidae"," 87",2012
"34","Calliclinus geniguttatus",-71.6333333,-33.0333333,"Labrisomidae"," 87",1999
"35","Calliclinus geniguttatus",-71.549709,-32.956851,"Labrisomidae"," 87",1998
"36","Calliclinus geniguttatus",-71.378609,-30.08914,"Labrisomidae"," 87",2019
"37","Calliclinus geniguttatus",-71.550551,-32.95739,"Labrisomidae"," 87",2018
"38","Calliclinus geniguttatus",-72.4609,-42.3883,"Labrisomidae"," 87",2012
"39","Calliclinus geniguttatus",-71.392929,-30.10121,"Labrisomidae"," 87",2018
"40","Calliclinus geniguttatus",-71.392161,-30.09905,"Labrisomidae"," 87",2018
"41","Calliclinus geniguttatus",-71.366747,-29.97195,"Labrisomidae"," 87",2018
"42","Caprodon longimanus",-78.877,-33.6029,"Serranidae"," 87",2014
"43","Caprodon longimanus",-78.8292,-33.615,"Serranidae"," 87",1997
"44","Cataetyx rubrirostris",-71.05000305,-27.26600075,"Bythitidae"," 87",1980
"45","Cataetyx rubrirostris",-72.22599792,-33.78300095,"Bythitidae"," 87",1980
"46","Cataetyx rubrirostris",-72.94999695,-35.23300171,"Bythitidae"," 87",1980
"47","Cataetyx simus",-71.73300171,-32.20000076,"Bythitidae"," 87",1980
"53","Cheilodactylus variegatus",-71.516667,-32.78333,"Cheilodactylidae"," 87",1985
