"species","Long","Lat","Family","FAO_AREA","Year"
"1","Acantholumpenus mackayi",-138.491,69.2488,"Stichaeidae"," 18",1986
"2","Acantholumpenus mackayi",-164.5571,64.00382,"Stichaeidae"," 67",2010
"3","Acantholumpenus mackayi",-165.1076,63.35193,"Stichaeidae"," 67",2015
"4","Acantholumpenus mackayi",-166.65,65.2667,"Stichaeidae"," 67",2006
"5","Acantholumpenus mackayi",-165.10762,63.35193,"Stichaeidae"," 67",2015
"6","Ammodytes hexapterus",-164.8732,71.02326,"Ammodytidae"," 18",2015
"7","Ammodytes hexapterus",-167.2185,71.5075,"Ammodytidae"," 18",2015
"8","Ammodytes hexapterus",-173.630005,67.400002,"Ammodytidae"," 18",2009
"9","Ammodytes hexapterus",-159.8185,70.90868,"Ammodytidae"," 18",2013
"10","Ammodytes hexapterus",-167.8629,70.0424,"Ammodytidae"," 18",2007
"11","Ammodytes hexapterus",-159.9403,71.01553,"Ammodytidae"," 18",2013
"12","Ammodytes hexapterus",-162.6318,71.2326,"Ammodytidae"," 18",2010
"13","Ammodytes hexapterus",-153.9227,71.72377,"Ammodytidae"," 18",2011
"14","Ammodytes hexapterus",-165.9974,70.64634,"Ammodytidae"," 18",2015
"15","Ammodytes hexapterus",-160.6233,70.4926,"Ammodytidae"," 18",2015
"16","Ammodytes hexapterus",-155.109,71.695,"Ammodytidae"," 18",2011
"17","Ammodytes hexapterus",-163.9717,70.08683,"Ammodytidae"," 18",2015
"18","Ammodytes hexapterus",-173.3334,69.75,"Ammodytidae"," 18",1983
"19","Ammodytes hexapterus",-164.631,69.514,"Ammodytidae"," 18",2007
"20","Ammodytes hexapterus",-173.628,67.39515,"Ammodytidae"," 18",2009
"21","Ammodytes hexapterus",-167.860001,70.040001,"Ammodytidae"," 18",2007
"22","Ammodytes hexapterus",-163.5334,70.56666,"Ammodytidae"," 18",1983
"23","Ammodytes hexapterus",-154.5217,71.6912,"Ammodytidae"," 18",2011
"24","Ammodytes hexapterus",-164.8725,71.02273,"Ammodytidae"," 18",2015
"25","Ammodytes hexapterus",-162.6686,70.50575,"Ammodytidae"," 18",2015
"26","Ammodytes hexapterus",-159.68745,71.362735,"Ammodytidae"," 18",2015
"27","Ammodytes hexapterus",-156.6034,71.5118,"Ammodytidae"," 18",2013
"28","Ammodytes hexapterus",-155.2461,71.66243,"Ammodytidae"," 18",2011
"29","Ammodytes hexapterus",-164.4836,71.1462,"Ammodytidae"," 18",2015
"30","Ammodytes hexapterus",-162.6095,71.48592,"Ammodytidae"," 18",2015
"31","Ammodytes hexapterus",-173.6099,67.4002,"Ammodytidae"," 18",2012
"32","Ammodytes hexapterus",-166.1017,69.04,"Ammodytidae"," 18",1983
"33","Ammodytes hexapterus",-171.4533,68.525,"Ammodytidae"," 18",2004
"34","Ammodytes hexapterus",-163.7541,70.40041,"Ammodytidae"," 18",2015
"35","Ammodytes hexapterus",-166.6,66.35333,"Ammodytidae"," 18",1980
"36","Ammodytes hexapterus",-163.55,70.66667,"Ammodytidae"," 18",1983
"37","Ammodytes hexapterus",-162.2469,72.0257,"Ammodytidae"," 18",2012
"38","Ammodytes hexapterus",-162.89775,72.108125,"Ammodytidae"," 18",2015
"39","Ammodytes hexapterus",-162.2458,71.10172,"Ammodytidae"," 18",2015
"40","Ammodytes hexapterus",-172.621,67.9081,"Ammodytidae"," 18",2012
"41","Ammodytes hexapterus",-166.0331,71.14513,"Ammodytidae"," 18",2015
"42","Ammodytes hexapterus",-164.15,71.74443,"Ammodytidae"," 18",2015
"43","Ammodytes hexapterus",-164.4813,71.14617,"Ammodytidae"," 18",2015
"44","Ammodytes hexapterus",-163.054,70.14116,"Ammodytidae"," 18",2015
"45","Ammodytes hexapterus",-138.7167,69.32917,"Ammodytidae"," 18",1987
"46","Ammodytes hexapterus",-155.24612,71.66243,"Ammodytidae"," 18",2011
"47","Ammodytes hexapterus",-168.9059,69.0298,"Ammodytidae"," 18",2015
"48","Ammodytes hexapterus",-163.25,70.56666,"Ammodytidae"," 18",1983
"49","Ammodytes hexapterus",-160.8315,70.57824,"Ammodytidae"," 18",2015
"50","Ammodytes hexapterus",-166.6,66.353333,"Ammodytidae"," 18",1980
"51","Ammodytes hexapterus",-162.195,71.606705,"Ammodytidae"," 18",2015
"52","Ammodytes hexapterus",-153.92272,71.72377,"Ammodytidae"," 18",2011
"53","Ammodytes hexapterus",-164.5043,70.64657,"Ammodytidae"," 18",2015
"54","Ammodytes hexapterus",-164.15005,71.744425,"Ammodytidae"," 18",2015
"55","Ammodytes hexapterus",-164.1017,72.49359,"Ammodytidae"," 18",2015
"56","Ammodytes hexapterus",-162.8978,72.10813,"Ammodytidae"," 18",2015
"57","Ammodytes hexapterus",-162.9995,71.36359,"Ammodytidae"," 18",2015
"58","Ammodytes hexapterus",-159.6875,71.36274,"Ammodytidae"," 18",2015
"59","Ammodytes hexapterus",-165.22749,63.39184,"Ammodytidae"," 67",2015
"60","Ammodytes hexapterus",-163.0007,64.316,"Ammodytidae"," 67",2010
"61","Ammodytes hexapterus",-169.563,64.967,"Ammodytidae"," 67",2003
"62","Ammodytes hexapterus",-171.389,64.002,"Ammodytidae"," 67",2007
"63","Ammodytes hexapterus",-171.0833,63.9833,"Ammodytidae"," 67",1980
"64","Ammodytes hexapterus",-165.2275,63.39184,"Ammodytidae"," 67",2015
"65","Anarhichas denticulatus",-156.475,71.391389,"Anarhichadidae"," 18",2011
"66","Anarhichas denticulatus",-156.475,71.39139,"Anarhichadidae"," 18",2011
"67","Anarhichas denticulatus",13.2,80.55,"Anarhichadidae"," 27",2008
"68","Anarhichas lupus",17.7,80.933,"Anarhichadidae"," 27",2008
"69","Anarhichas orientalis",-165.0129,70.0423,"Anarhichadidae"," 18",2007
"70","Anarhichas orientalis",-168.3127,67.88047,"Anarhichadidae"," 18",2012
"71","Anarhichas orientalis",-167.863,70.042,"Anarhichadidae"," 18",2007
"72","Anarhichas orientalis",-166.9583,71.0326,"Anarhichadidae"," 18",2009
"73","Anarhichas orientalis",-163.403,70.102,"Anarhichadidae"," 18",2011
"74","Anarhichas orientalis",-168.0184,67.4878,"Anarhichadidae"," 18",2007
"75","Anarhichas orientalis",-168.313,67.8805,"Anarhichadidae"," 18",2012
"76","Anarhichas orientalis",-164.1175,63.54154,"Anarhichadidae"," 67",2015
"77","Anarhichas orientalis",-162.3021,64.01867,"Anarhichadidae"," 67",2010
"78","Anarhichas orientalis",-162.3614,64.00596,"Anarhichadidae"," 67",2017
"79","Anarhichas orientalis",-166.9677,64.508,"Anarhichadidae"," 67",1985
"80","Anarhichas orientalis",-165.7783,64.34967,"Anarhichadidae"," 67",1982
"81","Anarhichas orientalis",-170,62.72,"Anarhichadidae"," 67",2002
"82","Anarhichas orientalis",-164.5242,64.0191,"Anarhichadidae"," 67",2015
"83","Anarhichas orientalis",-164.11751,63.54154,"Anarhichadidae"," 67",2015
"84","Anisarchus medius",-162.2553,71.1061,"Stichaeidae"," 18",2010
"85","Anisarchus medius",-175.68265,73.35735,"Stichaeidae"," 18",2009
"86","Anisarchus medius",-133.186666667,69.63,"Stichaeidae"," 18",1986
"87","Anisarchus medius",-165.93945,70.573717,"Stichaeidae"," 18",2008
"88","Anisarchus medius",-168.239244,67.90122,"Stichaeidae"," 18",2018
"89","Anisarchus medius",-149.9031,71.2184,"Stichaeidae"," 18",2011
"90","Anisarchus medius",-168.923,69.016,"Stichaeidae"," 18",2009
"91","Anisarchus medius",-168.341033,67.865767,"Stichaeidae"," 18",2009
