"species","Long","Lat","Family","FAO_AREA","Year"
"2","Abudefduf sexfasciatus",115.519855,-32.022233,"Pomacentridae"," 57",2015
"3","Abudefduf sexfasciatus",150.884007,-34.592725,"Pomacentridae"," 81",2005
"4","Abudefduf sordidus",149.924,-36.8942,"Pomacentridae"," 81",2016
"5","Abudefduf vaigiensis",115.624457,-32.041042,"Pomacentridae"," 57",2020
"6","Abudefduf vaigiensis",150.747637,-35.132468,"Pomacentridae"," 81",2019
"7","Abudefduf vaigiensis",149.924,-36.8959,"Pomacentridae"," 81",2018
"8","Abudefduf vaigiensis",149.923448,-36.89438,"Pomacentridae"," 81",2020
"9","Abudefduf vaigiensis",149.923083,-36.89314,"Pomacentridae"," 81",2015
"10","Abudefduf vaigiensis",149.923576,-36.89584,"Pomacentridae"," 81",2021
"11","Abudefduf vaigiensis",150.223811,-36.2455,"Pomacentridae"," 81",2017
"12","Acanthaluteres brownii",136.8836,-35.6868,"Monacanthidae"," 57",2009
"13","Acanthaluteres brownii",138.44391,-35.27118,"Monacanthidae"," 57",2017
"14","Acanthaluteres brownii",137.174329,-35.628585,"Monacanthidae"," 57",1994
"15","Acanthaluteres brownii",136.717,-35.7239,"Monacanthidae"," 57",2010
"16","Acanthaluteres brownii",137.4608,-34.71691,"Monacanthidae"," 57",2008
"17","Acanthaluteres brownii",138.39618,-34.976233,"Monacanthidae"," 57",2018
"18","Acanthaluteres spilomelanurus",144.722416,-38.17365,"Monacanthidae"," 57",2010
"19","Acanthaluteres spilomelanurus",122.01529,-33.97631,"Monacanthidae"," 57",2002
"20","Acanthaluteres spilomelanurus",138.508336,-34.988673,"Monacanthidae"," 57",2011
"21","Acanthaluteres spilomelanurus",138.184949,-35.520933,"Monacanthidae"," 57",2018
"22","Acanthaluteres spilomelanurus",145.28,-38.25,"Monacanthidae"," 57",2004
"23","Acanthaluteres spilomelanurus",137.73148,-35.15374,"Monacanthidae"," 57",2008
"24","Acanthaluteres spilomelanurus",145.218,-38.3417,"Monacanthidae"," 57",2004
"25","Acanthaluteres spilomelanurus",144.668473,-38.112282,"Monacanthidae"," 57",2021
"26","Acanthaluteres spilomelanurus",115.710009,-32.26823,"Monacanthidae"," 57",2020
"27","Acanthaluteres spilomelanurus",147.3402,-42.96991,"Monacanthidae"," 57",2009
"28","Acanthaluteres spilomelanurus",115.726112,-32.053333,"Monacanthidae"," 57",2019
"29","Acanthaluteres spilomelanurus",115.71226,-32.27285,"Monacanthidae"," 57",2020
"30","Acanthaluteres spilomelanurus",144.712247,-38.317814,"Monacanthidae"," 57",2013
"31","Acanthaluteres spilomelanurus",148.56,-38.2978,"Monacanthidae"," 57",1997
"32","Acanthaluteres spilomelanurus",144.856632,-38.2322,"Monacanthidae"," 57",2021
"33","Acanthaluteres spilomelanurus",150.1517,-36.66916,"Monacanthidae"," 81",2000
"34","Acanthaluteres vittiger",115.483237,-32.00626,"Monacanthidae"," 57",2020
"35","Acanthaluteres vittiger",121.9552,-33.86427,"Monacanthidae"," 57",2002
"36","Acanthaluteres vittiger",136.94196,-35.30483,"Monacanthidae"," 57",2015
"37","Acanthaluteres vittiger",148.2594,-42.1808,"Monacanthidae"," 57",2011
