"species","Long","Lat","Family","FAO_AREA","Year"
"1","Acanthistius pictus",-82,-10,"Serranidae"," 87",1998
"2","Acanthurus leucopareius",-109.312758,-27.07322,"Acanthuridae"," 87",2018
"3","Acanthurus triostegus",-128.349,-24.349,"Acanthuridae"," 77",2012
"5","Aldrovandia phalacra",-82.1166687012,-21.6666660309,"Halosauridae"," 87",1987
"7","Amphichaetodon melbae",-80.1067,-26.2817,"Chaetodontidae"," 87",1997
"8","Anampses femininus",-105.3646,-26.4748,"Labridae"," 87",2012
"9","Anampses femininus",-109.311713,-27.07411,"Labridae"," 87",2018
"10","Anatolanthias apiomycter",-85.3949966431,-25.6949996948,"Serranidae"," 87",1987
"11","Anatolanthias apiomycter",-85.395,-25.695,"Serranidae"," 87",1987
"12","Anisotremus scapularis",-77.164,-11.947,"Haemulidae"," 87",2015
"13","Antennarius striatus",-127.341111,-30.808333,"Antennariidae"," 81",2013
"14","Antigonia aurorosea",-100.690002441,-25.9200000763,"Caproidae"," 87",1983
"15","Antimora rostrata",-70.51599884,-21.08300018,"Moridae"," 87",1980
"16","Apogon kautamea",-109.433296,-27.1167,"Apogonidae"," 87",1986
"17","Apogon kautamea",-109.426058,-27.109056,"Apogonidae"," 87",1986
"18","Argyripnus electronus",-90.3000030518,-25.6000003815,"Sternoptychidae"," 87",1987
"19","Argyripnus electronus",-90.32,-25.57,"Sternoptychidae"," 87",1987
"20","Argyropelecus affinis",-88.468889,-24.96889,"Sternoptychidae"," 87",1987
"21","Arnoglossus coeruleosticta",-80.0969,-26.2769,"Bothidae"," 87",1997
"22","Arnoglossus multirastris",-85.65,-25.65,"Bothidae"," 87",1980
"23","Arnoglossus multirastris",-84.3499984741,-25.8999996185,"Bothidae"," 87",1987
"24","Arnoglossus multirastris",-85.417778,-25.65222,"Bothidae"," 87",1987
"25","Arnoglossus multirastris",-85.4249992371,-25.6416664124,"Bothidae"," 87",1987
"26","Arnoglossus multirastris",-84.350556,-25.88472,"Bothidae"," 87",1987
"27","Arnoglossus multirastris",-84.384167,-25.91917,"Bothidae"," 87",1987
"28","Arnoglossus multirastris",-84.3833312988,-25.9333324432,"Bothidae"," 87",1987
"29","Arothron meleagris",-109.312596,-27.07404,"Tetraodontidae"," 87",2018
"30","Aseraggodes bahamondei",-130,-32.5,"Soleidae"," 81",1985
"32","Atherinella nocturna",-70.13330078,-21.3166008,"Atherinopsidae"," 87",1980
"33","Aulostomus chinensis",-109.449937,-27.15305,"Aulostomidae"," 87",2011
"34","Aulostomus chinensis",-105.3641,-26.4743,"Aulostomidae"," 87",2012
"35","Aulostomus chinensis",-105.3614,-26.4692,"Aulostomidae"," 87",2012
"36","Aulostomus chinensis",-109.453954,-27.1245,"Aulostomidae"," 87",2019
"37","Bembradium roseum",-98.2233352661,-24.9983329773,"Bembridae"," 87",1987
"38","Bembras japonica",-127.341944,-31.216389,"Bembridae"," 81",2013
"39","Bolinichthys photothorax",-81.6500015259,-21.4166660309,"Myctophidae"," 87",1987
"40","Brama australis",-81.3,-38.9333333333,"Bramidae"," 87",1986
"41","Brama australis",-118.933333333,-43.5,"Bramidae"," 87",1987
