"species","Long","Lat","Family","FAO_AREA","Year"
"1","Abalistes filamentosus",123.668333333,24.12,"Balistidae"," 61",1996
"2","Ablabys taenianotus",119.620002747,23.4500007629,"Tetrarogidae"," 61",2003
"3","Abudefduf bengalensis",114.310084,22.31004,"Pomacentridae"," 61",2019
"4","Abudefduf bengalensis",114.261414,22.2143,"Pomacentridae"," 61",2018
"5","Abudefduf notatus",121.790000916,25.1399993896,"Pomacentridae"," 61",2001
"6","Abudefduf sexfasciatus",114.214394,22.2128,"Pomacentridae"," 61",2019
"7","Abudefduf sordidus",114.260385,22.20748,"Pomacentridae"," 61",2020
"8","Abudefduf sordidus",121.296896,22.95462,"Pomacentridae"," 61",2020
"9","Abudefduf sordidus",121.559997559,22.0400009155,"Pomacentridae"," 61",1988
"10","Abudefduf sordidus",114.345011,22.33404,"Pomacentridae"," 61",2019
"11","Abudefduf sordidus",121.797277,25.14761,"Pomacentridae"," 61",2019
"12","Abudefduf vaigiensis",119.418747,23.2059,"Pomacentridae"," 61",2020
"13","Acanthaphritis barbata",122.750278,26.438611,"Percophidae"," 61",2015
"14","Acanthaphritis barbata",123.183889,27.255278,"Percophidae"," 61",2013
"15","Acanthocepola indica",126.493333333,28.5466666667,"Cepolidae"," 61",1999
"16","Acanthocepola limbata",119.63,23.48,"Cepolidae"," 61",2003
"17","Acanthocepola limbata",119.533333,23.583333,"Cepolidae"," 61",2016
"18","Acanthocepola limbata",121.9026,24.9424,"Cepolidae"," 61",1991
"19","Acanthocepola limbata",123.263889,28.247778,"Cepolidae"," 61",2015
"20","Acanthocybium solandri",112.02,14.9183,"Scombridae"," 71",1999
"21","Acanthogobius flavimanus",122.5,33,"Gobiidae"," 61",2007
"22","Acanthogobius flavimanus",126.163747,35.08537,"Gobiidae"," 61",1997
"23","Acanthogobius flavimanus",126.171266,34.99594,"Gobiidae"," 61",1997
"24","Acanthogobius flavimanus",123.558333333,33.2166666667,"Gobiidae"," 61",1998
"25","Acanthogobius flavimanus",126.10419,35.06983,"Gobiidae"," 61",1997
"26","Acanthogobius flavimanus",125.415752,34.66008,"Gobiidae"," 61",1997
"27","Acanthogobius flavimanus",121.176616667,38.6656166667,"Gobiidae"," 61",2007
"28","Acanthogobius flavimanus",125.417994,34.68377,"Gobiidae"," 61",1997
"29","Acanthogobius hasta",120.449333,35.99967,"Gobiidae"," 61",1993
"30","Acanthogobius hasta",120.461333,35.998167,"Gobiidae"," 61",1993
"31","Acanthogobius hasta",120.309997559,23.9500007629,"Gobiidae"," 61",1989
"32","Acanthogobius hasta",120.281307,36.050327,"Gobiidae"," 61",1993
"33","Acanthogobius hasta",120.461333,35.99817,"Gobiidae"," 61",1993
"34","Acanthogobius lactipes",124.676668,37.97677,"Gobiidae"," 61",1997
"35","Acanthogobius lactipes",124.709611,37.84444,"Gobiidae"," 61",2007
"36","Acanthogobius lactipes",124.6212,37.97531,"Gobiidae"," 61",2007
"37","Acanthogobius luridus",126.064926,35.10064,"Gobiidae"," 61",1997
"38","Acanthonus armatus",122.069999695,24.3099994659,"Ophidiidae"," 61",2006
"40","Acanthopagrus latus",110.980003,20.52,"Sparidae"," 61",2007
"41","Acanthopagrus latus",111.21,20.875,"Sparidae"," 61",2007
"42","Acanthopagrus latus",111.559998,21.07,"Sparidae"," 61",2007
"43","Acanthopagrus latus",120.078186,23.12287,"Sparidae"," 61",2021
"44","Acanthopagrus schlegelii",112.769997,19.68,"Sparidae"," 61",2007
"45","Acanthopagrus schlegelii",111.811,21.086,"Sparidae"," 61",2011
"46","Acanthopagrus schlegelii",114.334256,22.46746,"Sparidae"," 61",2018
"47","Acanthurus blochii",114.370845,22.48987,"Acanthuridae"," 61",2013
"48","Acanthurus lineatus",122.950833,24.442222,"Acanthuridae"," 61",2015
"49","Acanthurus nigrofuscus",123.772835,24.42075,"Acanthuridae"," 61",2010
"50","Acanthurus triostegus",120.380753,22.35565,"Acanthuridae"," 61",2020
"51","Acanthurus triostegus",121.499903,22.08237,"Acanthuridae"," 61",2020
"52","Acanthurus triostegus",122.001209,25.01617,"Acanthuridae"," 61",2019
"53","Acanthurus xanthopterus",122.943056,24.451667,"Acanthuridae"," 61",2015
"54","Acentrogobius caninus",110.755,20.8092,"Gobiidae"," 61",2015
"55","Acentrogobius pflaumii",126.127933,35.20063,"Gobiidae"," 61",2012
"56","Acentrogobius pflaumii",126.205839,34.95936,"Gobiidae"," 61",1997
"57","Acromycter nezumi",126.873333333,28.3,"Congridae"," 61",2002
"58","Acropoma japonicum",126.421666667,29.985,"Acropomatidae"," 61",2004
"59","Acropoma japonicum",126.233333333,29.5483333333,"Acropomatidae"," 61",2004
"60","Acropoma japonicum",123.756667,28.759722,"Acropomatidae"," 61",2013
"61","Aesopia cornuta",121.75,27.25,"Soleidae"," 61",1987
"62","Aldrovandia affinis",121.150001526,22.0699996948,"Halosauridae"," 61",2006
"73","Alepes kleinii",110.6,20.808,"Carangidae"," 61",2006
"74","Alepes kleinii",120.17,26.52,"Carangidae"," 61",2017
"75","Alepisaurus ferox",109.9967,14,"Alepisauridae"," 71",1999
"76","Alepisaurus ferox",111.045,14.9183,"Alepisauridae"," 71",1999
"77","Alepocephalus bicolor",120.419998169,22.2000007629,"Alepocephalidae"," 61",2001
"78","Alepocephalus bicolor",117.760002136,20.6700000763,"Alepocephalidae"," 61",2005
"79","Alepocephalus bicolor",120.416667,22.383333,"Alepocephalidae"," 61",1983
"80","Alepocephalus bicolor",120.330001831,22.2199993134,"Alepocephalidae"," 61",2001
"81","Alepocephalus bicolor",122.040000916,24.8299999237,"Alepocephalidae"," 61",2001
"82","Alepocephalus bicolor",122.080001831,24.9200000763,"Alepocephalidae"," 61",2003
"83","Alepocephalus bicolor",122.019996643,24.8600006104,"Alepocephalidae"," 61",2001
"84","Alepocephalus longiceps",124.905,26.1883333333,"Alepocephalidae"," 61",2002
"85","Alepocephalus owstoni",117.550003052,20.7099990845,"Alepocephalidae"," 61",2005
"86","Alepocephalus owstoni",117.550003052,20.7199993134,"Alepocephalidae"," 61",2005
"87","Alepocephalus tenebrosus",120.9638667,34.2264167,"Alepocephalidae"," 61",2013
"88","Aluterus monoceros",109.5,18.21667,"Monacanthidae"," 61",1990
"89","Ambassis buruensis",123.000556,24.467778,"Ambassidae"," 61",2015
"90","Amblychaeturichthys hexanema",126.666666667,31,"Gobiidae"," 61",2001
"91","Amblychaeturichthys hexanema",126.043333333,30.0183333333,"Gobiidae"," 61",2004
"92","Amblychaeturichthys sciistius",125.329167,29.76,"Gobiidae"," 61",2014
"93","Amblyglyphidodon curacao",116.706,20.714,"Pomacentridae"," 61",1990
"94","Amblygobius phalaena",114.359399,22.47546,"Gobiidae"," 61",2020
"95","Amblygobius phalaena",107.1583333,20.775,"Gobiidae"," 61",1997
"96","Amblygobius phalaena",107.158333333,20.775,"Gobiidae"," 61",1997
"97","Amblygobius phalaena",107.158332825,20.7749996185,"Gobiidae"," 61",1997
"98","Amblygobius phalaena",107.158091201,20.77489,"Gobiidae"," 61",1997
"99","Ammodytes personatus",124.800003052,37.7000007629,"Ammodytidae"," 61",2006
"100","Ammodytes personatus",125.680000305,36.9199981689,"Ammodytidae"," 61",2007
"101","Ammodytes personatus",124.599998474,38,"Ammodytidae"," 61",2006
"102","Ammodytes personatus",114.75,20.417,"Ammodytidae"," 61",2015
"103","Ammodytes personatus",125.779998779,35.5600013733,"Ammodytidae"," 61",2008
"105","Amphiprion clarkii",121.919866,25.11296,"Pomacentridae"," 61",2019
"106","Amphiprion clarkii",114.390938,22.38364,"Pomacentridae"," 61",2021
"107","Amphiprion clarkii",121.762428,25.16242,"Pomacentridae"," 61",2021
"108","Amphiprion clarkii",119.606987,23.51636,"Pomacentridae"," 61",2019
"109","Amphiprion clarkii",124.213386,24.48997,"Pomacentridae"," 61",2018
"110","Amphiprion clarkii",114.361,22.4535,"Pomacentridae"," 61",2012
"111","Amphiprion frenatus",124.185,24.3216666667,"Pomacentridae"," 61",1995
"112","Amphiprion frenatus",122.950556,24.440833,"Pomacentridae"," 61",2015
"113","Amphiprion frenatus",121.557277,22.02202,"Pomacentridae"," 61",2021
"114","Amphiprion frenatus",121.493831,22.67774,"Pomacentridae"," 61",2021
"115","Amphiprion frenatus",124.255,24.3533,"Pomacentridae"," 61",1987
"116","Amphiprion frenatus",121.92,25.1101,"Pomacentridae"," 61",2012
"117","Amphiprion frenatus",121.514,22.0507,"Pomacentridae"," 61",2012
"118","Amphiprion ocellaris",121.472161,22.65546,"Pomacentridae"," 61",2021
"119","Amphiprion ocellaris",121.507778,22.68417,"Pomacentridae"," 61",2020
"120","Amphiprion sandaracinos",125.177652,24.83245,"Pomacentridae"," 61",2016
"121","Anampses geographicus",121.5,22.66,"Labridae"," 61",1986
"122","Andamia reyi",120.434189,22.45879,"Blenniidae"," 61",2004
"123","Andamia reyi",121.57,25.315,"Blenniidae"," 61",2007
"124","Anguilla japonica",114.355225,22.21761,"Anguillidae"," 61",2020
"125","Anguilla marmorata",121.658783,24.13837,"Anguillidae"," 61",2021
"127","Antennarius commerson",122.05,25,"Antennariidae"," 61",1984
"128","Antennarius commerson",122.050003052,25,"Antennariidae"," 61",1984
"129","Antennarius striatus",119.65,25.17,"Antennariidae"," 61",2015
"130","Antennarius striatus",123.750556,27.763611,"Antennariidae"," 61",2013
"131","Antennarius striatus",118.510002,24.19,"Antennariidae"," 61",2015
"132","Antennarius striatus",119.650002,25.17,"Antennariidae"," 61",2015
"133","Antennarius striatus",125.738889,28.854722,"Antennariidae"," 61",2013
"134","Antennarius striatus",125.263611,28.243056,"Antennariidae"," 61",2014
"135","Antigonia rubicunda",123.116667,26.446389,"Caproidae"," 61",2015
"139","Apistus carinatus",120.599998474,22.3099994659,"Apistidae"," 61",2004
"144","Apogon nitidus",121.900001526,25.1700000763,"Apogonidae"," 61",2006
"145","Apogonichthyoides pseudotaeniatus",114.365341,22.31564,"Apogonidae"," 61",2020
"149","Argyropelecus aculeatus",122.31,23.66,"Sternoptychidae"," 61",2005
"150","Argyropelecus aculeatus",122,22.75,"Sternoptychidae"," 61",1995
"151","Argyropelecus aculeatus",119.319999695,21.8999996185,"Sternoptychidae"," 61",2002
"152","Argyropelecus aculeatus",115.809997559,20.5799999237,"Sternoptychidae"," 61",1995
"153","Argyropelecus affinis",114.129997253,19.5,"Sternoptychidae"," 61",1996
"154","Argyropelecus hemigymnus",120.419998169,22.1399993896,"Sternoptychidae"," 61",1996
