"species","Long","Lat","Family","FAO_AREA","Year"
"1","Acanthodraco dewitti",-62.740002,-64.77,"Bathydraconidae"," 48",2014
"2","Acanthodraco dewitti",-62.739444,-64.768056,"Bathydraconidae"," 48",2014
"3","Acanthodraco dewitti",-62.739,-64.768,"Bathydraconidae"," 48",2014
"4","Acanthodraco dewitti",-62.739444,-64.76806,"Bathydraconidae"," 48",2014
"5","Achiropsetta tricholepis",67.133,-48.983,"Achiropsettidae"," 58",1998
"6","Achiropsetta tricholepis",67.1333312988,-48.9833335876,"Achiropsettidae"," 58",1998
"7","Achiropsetta tricholepis",67.1330032349,-48.983001709,"Achiropsettidae"," 58",1998
"8","Achiropsetta tricholepis",70.911,-49.215,"Achiropsettidae"," 58",2010
"9","Achiropsetta tricholepis",75.150002,-52.68,"Achiropsettidae"," 58",1998
"10","Aethotaxis mitopteryx",-56.0033,-62.34767,"Nototheniidae"," 48",2006
"11","Aethotaxis mitopteryx",-59.44133,-63.2445,"Nototheniidae"," 48",2006
"12","Aethotaxis mitopteryx",-37.466,-53.753,"Nototheniidae"," 48",2009
"13","Aethotaxis mitopteryx",-7.05,-70.31667,"Nototheniidae"," 48",1991
"14","Aethotaxis mitopteryx",-37.4659996033,-53.7529983521,"Nototheniidae"," 48",2009
"15","Aethotaxis mitopteryx",72.5100021362,-66.625,"Nototheniidae"," 58",1987
"16","Aethotaxis mitopteryx",72.51,-66.625,"Nototheniidae"," 58",1987
"17","Aethotaxis mitopteryx",68.8416671753,-67.4883346558,"Nototheniidae"," 58",1991
"18","Aethotaxis mitopteryx",167.020004,-74.72,"Nototheniidae"," 88",2008
"20","Akarotaxis nudiceps",-25.966667,-75.26667,"Bathydraconidae"," 48",1989
"21","Akarotaxis nudiceps",-26.05,-75.283,"Bathydraconidae"," 48",1989
"22","Akarotaxis nudiceps",76.5100021362,-68.5400009155,"Bathydraconidae"," 58",1986
"23","Akarotaxis nudiceps",139.794,-66.4039,"Bathydraconidae"," 58",2008
"24","Akarotaxis nudiceps",144.639999,-66.74,"Bathydraconidae"," 58",2007
"25","Akarotaxis nudiceps",73.80666,-68.38499,"Bathydraconidae"," 58",1991
"26","Akarotaxis nudiceps",164.7607,-75.77429,"Bathydraconidae"," 88",1997
"28","Alepisaurus brevirostris",37.8667,-46.8833,"Alepisauridae"," 58",1985
"35","Allocyttus niger",148.716,-47.166,"Oreosomatidae"," 57",2000
"36","Allocyttus niger",148.8,-47.36667,"Oreosomatidae"," 57",1992
"37","Allocyttus niger",148.73,-47.15,"Oreosomatidae"," 57",1998
"38","Allocyttus niger",148.91,-47.43,"Oreosomatidae"," 57",1998
"39","Allocyttus niger",148.7167,-47.16667,"Oreosomatidae"," 57",2000
"40","Allocyttus niger",69,-47,"Oreosomatidae"," 58",1996
