"species","Long","Lat","Family","FAO_AREA","Year"
"1","Abalistes stellatus",33.5166664124,28.1000003815,"Balistidae"," 51",1989
"2","Abalistes stellatus",45.2700004578,10.6333332062,"Balistidae"," 51",1986
"3","Abalistes stellatus",47.2150001526,11.2349996567,"Balistidae"," 51",1986
"4","Abalistes stellatus",45.27,10.6333,"Balistidae"," 51",1986
"5","Ablennes hians",33.783333,27.63333,"Belonidae"," 51",1993
"6","Abudefduf sexfasciatus",33.9208,27.8137,"Pomacentridae"," 51",2021
"7","Abudefduf sexfasciatus",34.433627,28.35325,"Pomacentridae"," 51",2019
"8","Abudefduf sexfasciatus",42.542667,15.56883,"Pomacentridae"," 51",1998
"9","Abudefduf sexfasciatus",44.709167,12.74083,"Pomacentridae"," 51",1998
"10","Abudefduf sexfasciatus",33.862095,27.16104,"Pomacentridae"," 51",2017
"11","Abudefduf sexfasciatus",33.971443,27.17307,"Pomacentridae"," 51",2018
"12","Abudefduf sexfasciatus",33.911308,26.99015,"Pomacentridae"," 51",2014
"13","Abudefduf sexfasciatus",33.992043,26.79778,"Pomacentridae"," 51",2017
"14","Abudefduf sexfasciatus",44.7092018127,12.7407999039,"Pomacentridae"," 51",1998
"15","Abudefduf vaigiensis",34.796439,25.24523,"Pomacentridae"," 51",2019
"16","Abudefduf vaigiensis",36.185511,23.61254,"Pomacentridae"," 51",1995
"17","Abudefduf vaigiensis",33.780711,27.67186,"Pomacentridae"," 51",2018
"18","Abudefduf vaigiensis",34.536421,28.56725,"Pomacentridae"," 51",2018
"19","Acanthurus gahhm",42.047972,16.90208,"Acanthuridae"," 51",2011
"20","Acanthurus nigrofuscus",39.047719,22.30382,"Acanthuridae"," 51",2015
"21","Acanthurus sohal",35.107665,26.35446,"Acanthuridae"," 51",2019
"22","Acanthurus sohal",34.796493,25.24524,"Acanthuridae"," 51",2019
"23","Acanthurus sohal",34.389383,25.94041,"Acanthuridae"," 51",2015
"24","Acanthurus sohal",33.822842,27.29213,"Acanthuridae"," 51",2010
"25","Acanthurus sohal",34.917121,25.04531,"Acanthuridae"," 51",2020
"26","Acanthurus sohal",37.948767,23.77297,"Acanthuridae"," 51",2014
"27","Acanthurus sohal",38.955419,22.25836,"Acanthuridae"," 51",2015
"28","Aethaloperca rogaa",39.006958,22.36532,"Serranidae"," 51",2016
"29","Aethaloperca rogaa",43.6716651917,11.6149997711,"Serranidae"," 51",1986
"30","Alepes djedaba",42.883333,14.91667,"Carangidae"," 51",1998
"31","Aluterus scriptus",34.521444,28.55439,"Monacanthidae"," 51",2017
"32","Amblyeleotris steinitzi",34.099245,27.73125,"Gobiidae"," 51",2008
"33","Amblyglyphidodon flavilatus",33.890591,27.07325,"Pomacentridae"," 51",2017
"34","Amblyglyphidodon flavilatus",33.92303,27.01147,"Pomacentridae"," 51",2013
"35","Amblyglyphidodon indicus",33.918267,27.18304,"Pomacentridae"," 51",2018
"36","Amblyglyphidodon indicus",34.258727,27.75238,"Pomacentridae"," 51",2019
"37","Amblygobius albimaculatus",39.9892,20.2527,"Gobiidae"," 51",2014
"38","Amblygobius albimaculatus",40.750774,19.54067,"Gobiidae"," 51",2017
"39","Amphiprion bicinctus",34.533462,28.56372,"Pomacentridae"," 51",2018
"40","Amphiprion bicinctus",33.9531,27.2227,"Pomacentridae"," 51",2012
"41","Amphiprion bicinctus",34.26198,27.78988,"Pomacentridae"," 51",2015
"42","Amphiprion bicinctus",34.919591,29.49487,"Pomacentridae"," 51",2016
"43","Amphiprion bicinctus",34.764663,25.32136,"Pomacentridae"," 51",2021
"44","Amphiprion bicinctus",34.521298,28.49942,"Pomacentridae"," 51",2021
"45","Amphiprion bicinctus",34.005132,26.84914,"Pomacentridae"," 51",2017
"46","Amphiprion bicinctus",34.459993,27.99294,"Pomacentridae"," 51",2017
"47","Amphiprion bicinctus",33.751202,27.44484,"Pomacentridae"," 51",2008
"48","Amphiprion bicinctus",35.457172,24.22208,"Pomacentridae"," 51",2011
"49","Amphiprion bicinctus",33.953399,27.14033,"Pomacentridae"," 51",2018
"50","Amphiprion bicinctus",35.57373,24.19436,"Pomacentridae"," 51",2013
"51","Amphiprion bicinctus",34.3,27.75,"Pomacentridae"," 51",2015
"52","Amphiprion bicinctus",34.518765,28.49396,"Pomacentridae"," 51",2020
"53","Amphiprion bicinctus",33.921124,27.01471,"Pomacentridae"," 51",2017
"54","Amphiprion bicinctus",32.533995,29.53869,"Pomacentridae"," 51",2014
"55","Amphiprion bicinctus",34.999835,24.98818,"Pomacentridae"," 51",2021
"56","Amphiprion bicinctus",34.461753,28.42964,"Pomacentridae"," 51",2009
"57","Amphiprion bicinctus",34.781814,25.34185,"Pomacentridae"," 51",2019
"58","Amphiprion bicinctus",33.954545,27.13907,"Pomacentridae"," 51",2019
"60","Anampses meleagrides",33.951729,27.16671,"Labridae"," 51",2017
"61","Anampses twistii",34.777415,25.34647,"Labridae"," 51",2021
"62","Antennarius maculatus",34.8802,29.4268,"Antennariidae"," 51",2006
"63","Antennarius pictus",34.797145,25.24552,"Antennariidae"," 51",2006
"64","Antennarius pictus",34.8197,29.3837,"Antennariidae"," 51",2006
"65","Antennarius pictus",34.796712,25.24558,"Antennariidae"," 51",2006
"66","Antennatus nummifer",33.45,28.166666,"Antennariidae"," 51",2015
"67","Antennatus nummifer",42.6,15.1166667,"Antennariidae"," 51",1993
"68","Anyperodon leucogrammicus",42.12525,16.90331,"Serranidae"," 51",2011
"69","Aphanius fasciatus",33.697917,27.38339,"Cyprinodontidae"," 51",1985
"70","Apogon coccineus",42.383333,15.508,"Apogonidae"," 51",1998
"71","Apogon coccineus",44.636667,12.79417,"Apogonidae"," 51",1998
"73","Apogon semiornatus",42.3833007812,15.5207996368,"Apogonidae"," 51",1998
"74","Apogonichthyoides heptastygma",42.730083,15.48345,"Apogonidae"," 51",1998
"75","Apogonichthyoides heptastygma",42.389967,15.49075,"Apogonidae"," 51",1998
"76","Apogonichthyoides nigripinnis",32.5499992371,29.9166660309,"Apogonidae"," 51",1984
"77","Apolemichthys xanthotis",43.335917,11.95882,"Pomacanthidae"," 51",2012
"78","Apolemichthys xanthotis",43.335917,11.958817,"Pomacanthidae"," 51",2012
"80","Argyropelecus affinis",47,12,"Sternoptychidae"," 51",1992
"81","Argyrosomus regius",32.5333328247,29.8333339691,"Sciaenidae"," 51",1989
"82","Arnoglossus macrolophus",34.4595,28.4365,"Bothidae"," 51",2012
"83","Arothron diadematus",38.996367,22.42787,"Tetraodontidae"," 51",2012
"84","Arothron diadematus",36.683917,25.391917,"Tetraodontidae"," 51",2013
"85","Arothron diadematus",38.996367,22.427867,"Tetraodontidae"," 51",2012
"86","Arothron diadematus",34.764702,25.32141,"Tetraodontidae"," 51",2021
"87","Arothron diadematus",34.5127,28.4773,"Tetraodontidae"," 51",2005
"88","Arothron diadematus",34.520542,28.49909,"Tetraodontidae"," 51",2018
"89","Arothron diadematus",43.270658,11.64763,"Tetraodontidae"," 51",2009
"90","Arothron diadematus",34.5136,28.5091,"Tetraodontidae"," 51",2012
"91","Arothron diadematus",34.521,28.5549,"Tetraodontidae"," 51",2012
"92","Arothron diadematus",34.3019,27.8473,"Tetraodontidae"," 51",2012
"93","Arothron diadematus",34.458542,27.99137,"Tetraodontidae"," 51",2017
"94","Arothron diadematus",34.38905,25.94059,"Tetraodontidae"," 51",2015
"95","Arothron diadematus",35.102928,24.88705,"Tetraodontidae"," 51",2004
"96","Arothron diadematus",35.241427,24.79618,"Tetraodontidae"," 51",2014
"97","Arothron diadematus",34.52146,28.49951,"Tetraodontidae"," 51",2021
"98","Arothron diadematus",34.6692,25.5005,"Tetraodontidae"," 51",2013
"99","Arothron diadematus",33.9559,27.2009,"Tetraodontidae"," 51",2011
"100","Arothron diadematus",34.5881,25.6634,"Tetraodontidae"," 51",2014
"101","Arothron hispidus",34.255672,27.74629,"Tetraodontidae"," 51",2015
"102","Arothron hispidus",34.0979,27.7304,"Tetraodontidae"," 51",2005
"103","Arothron immaculatus",35.8119,23.3855,"Tetraodontidae"," 51",2004
"104","Arothron stellatus",34.797516,25.24507,"Tetraodontidae"," 51",2018
"105","Arothron stellatus",35.201737,25.2605,"Tetraodontidae"," 51",2017
"106","Arothron stellatus",34.46515,28.43814,"Tetraodontidae"," 51",2019
"107","Arothron stellatus",34.459969,28.43447,"Tetraodontidae"," 51",2018
"108","Aseraggodes macronasus",34.5201,28.4985,"Soleidae"," 51",2012
"109","Aseraggodes macronasus",34.5199,28.4986,"Soleidae"," 51",2012
"110","Aseraggodes macronasus",34.453186,28.41648,"Soleidae"," 51",2012
"111","Aspidontus dussumieri",40.52405,19.19333,"Blenniidae"," 51",2017
"112","Asterorhombus intermedius",32.4833335876,29.7666664124,"Bothidae"," 51",1999
"113","Asterorhombus intermedius",33.3833351135,28.2333335876,"Bothidae"," 51",1999
"114","Asterorhombus intermedius",32.7000007629,29.5,"Bothidae"," 51",1999
"115","Atherinomorus forskalii",33.333333,28.3,"Atherinidae"," 51",2008
"116","Balistapus undulatus",37.24767,24.442683,"Balistidae"," 51",2013
"117","Balistapus undulatus",35.72941,24.16541,"Balistidae"," 51",2010
"118","Balistapus undulatus",38.967947,22.29794,"Balistidae"," 51",2017
"119","Balistapus undulatus",35.84365,23.5009,"Balistidae"," 51",2005
"120","Balistoides viridescens",34.002091,26.84187,"Balistidae"," 51",2017
"121","Balistoides viridescens",34.787098,25.26653,"Balistidae"," 51",2017
"122","Balistoides viridescens",34.79722,25.24519,"Balistidae"," 51",2006
"123","Balistoides viridescens",34.2912,26.1138,"Balistidae"," 51",2013
"124","Balistoides viridescens",34.777488,25.34653,"Balistidae"," 51",2021
"125","Bathygobius cyclopterus",34.533333,28.48333,"Gobiidae"," 51",1996
"126","Bathygobius cyclopterus",34.95,29.53333,"Gobiidae"," 51",1993
"127","Bathygobius fuscus",34.45,28.06667,"Gobiidae"," 51",1981
"128","Bathygobius fuscus",34.45,28.06666667,"Gobiidae"," 51",1981
"129","Bathygobius fuscus",34.45,28.0666666667,"Gobiidae"," 51",1981
"130","Bathygobius fuscus",34.471488,28.01362,"Gobiidae"," 51",1985
