"species","Long","Lat","Family","FAO_AREA","Year"
"3","Alepocephalus agassizii",-60.2,62.7667,"Alepocephalidae"," 21",1986
"4","Alepocephalus agassizii",-59.1938,62.51917,"Alepocephalidae"," 21",2001
"5","Alepocephalus agassizii",-60.2,62.76667,"Alepocephalidae"," 21",1986
"6","Alepocephalus agassizii",-59.535,62.5317,"Alepocephalidae"," 21",2001
"7","Alepocephalus bairdii",-61.4209,62.59706,"Alepocephalidae"," 21",2018
"8","Ammodytes dubius",-66,58.9,"Ammodytidae"," 18",1989
"9","Ammodytes dubius",-55.7,66.745,"Ammodytidae"," 21",1987
"10","Ammodytes hexapterus",-94.30083,58.775,"Ammodytidae"," 18",1995
"11","Ammodytes hexapterus",-94.14833,58.94667,"Ammodytidae"," 18",1995
"12","Ammodytes hexapterus",-94.17167,58.90833,"Ammodytidae"," 18",1995
"13","Ammodytes hexapterus",-92.30833,57.14167,"Ammodytidae"," 18",1993
"14","Anarhichas denticulatus",-59,62.83,"Anarhichadidae"," 21",2000
"15","Anarhichas denticulatus",-59.05667,64.18333,"Anarhichadidae"," 21",1986
"16","Anarhichas denticulatus",-59.095,62.76667,"Anarhichadidae"," 21",1986
"17","Anarhichas denticulatus",-60.15333,63.775,"Anarhichadidae"," 21",1986
"18","Anarhichas denticulatus",-60.9375,62.25123,"Anarhichadidae"," 21",2018
"19","Anarhichas denticulatus",-58.29167,64.81667,"Anarhichadidae"," 21",1986
"20","Anarhichas denticulatus",-62.17833,61.19167,"Anarhichadidae"," 21",1986
"21","Anarhichas denticulatus",-58.2676,63.33167,"Anarhichadidae"," 21",2001
"22","Anarhichas denticulatus",-61.75167,61.71833,"Anarhichadidae"," 21",1986
"23","Anarhichas denticulatus",-58.7433,63.345,"Anarhichadidae"," 21",2001
"24","Anarhichas denticulatus",-61.68,61.59833,"Anarhichadidae"," 21",1986
"25","Anarhichas denticulatus",-58.52167,64.955,"Anarhichadidae"," 21",1986
"26","Anarhichas denticulatus",-58.49,67.58,"Anarhichadidae"," 21",1999
"27","Anarhichas denticulatus",-60.58594,62.18978,"Anarhichadidae"," 21",2018
"28","Anarhichas denticulatus",-60.13833,63.54667,"Anarhichadidae"," 21",1986
"29","Anarhichas denticulatus",-62.62833,61.625,"Anarhichadidae"," 21",1986
"30","Anarhichas denticulatus",-59.01667,64.575,"Anarhichadidae"," 21",1986
"31","Anarhichas denticulatus",-62.36667,62.27,"Anarhichadidae"," 21",1986
"32","Anarhichas denticulatus",-60.60667,64.51167,"Anarhichadidae"," 21",1986
"33","Anarhichas denticulatus",-58.74,63.33,"Anarhichadidae"," 21",2001
"34","Anarhichas denticulatus",-60.82,62.54,"Anarhichadidae"," 21",2001
"35","Anarhichas denticulatus",-57.88833,64.87167,"Anarhichadidae"," 21",1986
"36","Anarhichas denticulatus",-58.94333,64.75,"Anarhichadidae"," 21",1986
"37","Anarhichas denticulatus",-59.385,64.195,"Anarhichadidae"," 21",1986
"38","Anarhichas denticulatus",-61.13,62.79,"Anarhichadidae"," 21",2001
"39","Anarhichas denticulatus",-58.91,64.97,"Anarhichadidae"," 21",2000
"40","Anarhichas denticulatus",-60.58167,62.86833,"Anarhichadidae"," 21",1986
"41","Anarhichas denticulatus",-59.67,63.12,"Anarhichadidae"," 21",2000
"42","Anarhichas denticulatus",-1.035,67.2183,"Anarhichadidae"," 27",1997
"43","Anarhichas denticulatus",6.87,80.88,"Anarhichadidae"," 27",2015
"53","Anarhichas lupus",-61.42,60.41,"Anarhichadidae"," 21",1981
"54","Anarhichas lupus",-61.947,60.241,"Anarhichadidae"," 21",2015
"55","Anarhichas lupus",-64.327,61.3285,"Anarhichadidae"," 21",2007
"56","Anarhichas lupus",-60.5,57.91,"Anarhichadidae"," 21",1981
"57","Anarhichas lupus",-60.74,59.24,"Anarhichadidae"," 21",1981
"58","Anarhichas lupus",-64.313,61.41,"Anarhichadidae"," 21",2014
"59","Anarhichas lupus",-59.949,58.189,"Anarhichadidae"," 21",2010
"60","Anarhichas lupus",-60.84153,64.03102,"Anarhichadidae"," 21",2010
"61","Anarhichas lupus",-58.774,68.09,"Anarhichadidae"," 21",2012
"62","Anarhichas lupus",-60.553,59.437,"Anarhichadidae"," 21",2010
"63","Anarhichas lupus",-59.843,57.888,"Anarhichadidae"," 21",2012
"64","Anarhichas lupus",-59.985,64.81333,"Anarhichadidae"," 21",2005
"65","Anarhichas lupus",-60.824,59.371,"Anarhichadidae"," 21",2013
"66","Anarhichas lupus",-61.58667,63.22333,"Anarhichadidae"," 21",2005
"67","Anarhichas lupus",-58.91043,68.12152,"Anarhichadidae"," 21",2008
"68","Anarhichas lupus",-61.92248,63.16907,"Anarhichadidae"," 21",2010
"69","Anarhichas lupus",-61.635,59.661,"Anarhichadidae"," 21",2015
"70","Anarhichas lupus",-60.288,58.759,"Anarhichadidae"," 21",2015
"71","Anarhichas lupus",-59.957,58.175,"Anarhichadidae"," 21",2015
"72","Anarhichas lupus",-59.89,58.08,"Anarhichadidae"," 21",1987
"73","Anarhichas lupus",-64.149,61.5,"Anarhichadidae"," 21",2015
"74","Anarhichas lupus",-60.18,58.599,"Anarhichadidae"," 21",2007
"75","Anarhichas lupus",-60.019,58.207,"Anarhichadidae"," 21",2013
"76","Anarhichas lupus",-56.45,66.83,"Anarhichadidae"," 21",1986
"77","Anarhichas lupus",-60.195,58.237,"Anarhichadidae"," 21",2013
"78","Anarhichas lupus",-59.908,58.027,"Anarhichadidae"," 21",2012
"79","Anarhichas lupus",-61.14,59.98,"Anarhichadidae"," 21",1987
"80","Anarhichas lupus",-60.173,59.029,"Anarhichadidae"," 21",2010
"81","Anarhichas lupus",-59.0242,68.0037,"Anarhichadidae"," 21",2012
"82","Anarhichas lupus",-61.543,59.969,"Anarhichadidae"," 21",2011
"83","Anarhichas lupus",-60.293,58.77,"Anarhichadidae"," 21",2012
"84","Anarhichas lupus",-60.257,58.891,"Anarhichadidae"," 21",2013
"85","Anarhichas lupus",-61.634,60.001,"Anarhichadidae"," 21",2013
"86","Anarhichas lupus",-61.456,60.109,"Anarhichadidae"," 21",2011
"87","Anarhichas lupus",-61.24,59.69,"Anarhichadidae"," 21",2005
"88","Anarhichas lupus",-58.7737,68.0905,"Anarhichadidae"," 21",2012
"89","Anarhichas lupus",-61.705,60.246,"Anarhichadidae"," 21",2007
"90","Anarhichas lupus",-61.31833,63.235,"Anarhichadidae"," 21",2006
