"species","Long","Lat","Family","FAO_AREA","Year"
"11","Abudefduf saxatilis",-64.301771,18.686066,"Pomacentridae"," 31",2020
"12","Abudefduf saxatilis",-63.01684,18.10912,"Pomacentridae"," 31",1997
"13","Abudefduf saxatilis",-63.020939,18.08947,"Pomacentridae"," 31",2011
"14","Abudefduf saxatilis",-63.06427,18.09919,"Pomacentridae"," 31",2012
"15","Abudefduf saxatilis",-63.056009,18.11784,"Pomacentridae"," 31",2008
"16","Abudefduf saxatilis",-22.854951,16.659378,"Pomacentridae"," 34",2018
"17","Abudefduf saxatilis",-15.38518,27.87094,"Pomacentridae"," 34",2015
"18","Abudefduf saxatilis",-15.4048,28.1796,"Pomacentridae"," 34",2017
"19","Abudefduf saxatilis",-44.65605,-23.18555,"Pomacentridae"," 41",2010
"20","Abudefduf saxatilis",-40.18333,-20.18333,"Pomacentridae"," 41",1985
"21","Abudefduf saxatilis",-34.99824,-8.505589,"Pomacentridae"," 41",2014
"22","Abudefduf saxatilis",-35.00014,-8.508792,"Pomacentridae"," 41",2021
"23","Abudefduf saxatilis",-41.99728,-22.97283,"Pomacentridae"," 41",2016
"24","Abudefduf saxatilis",-38.641,-12.814,"Pomacentridae"," 41",2015
"25","Abudefduf saxatilis",-44.3471,-23.1377,"Pomacentridae"," 41",2012
"26","Abudefduf saxatilis",-48.36571,-27.30128,"Pomacentridae"," 41",2020
"27","Abudefduf saxatilis",-48.59674,-26.78126,"Pomacentridae"," 41",2019
"28","Abudefduf saxatilis",-32.41727,-3.838374,"Pomacentridae"," 41",2013
"29","Abudefduf saxatilis",-5.716815,-15.96307,"Pomacentridae"," 47",2015
"34","Acanthocybium solandri",-61.68,21.45,"Scombridae"," 31",1993
"35","Acanthocybium solandri",-54.96,20.13,"Scombridae"," 31",1994
"36","Acanthocybium solandri",-41.06,8.38,"Scombridae"," 31",1996
"37","Acanthocybium solandri",-48.03,6.06,"Scombridae"," 31",1997
"38","Acanthocybium solandri",-54.08,19.45,"Scombridae"," 31",1998
"39","Acanthocybium solandri",-54.49167,19.89167,"Scombridae"," 31",1994
"40","Acanthocybium solandri",-50.10833,19.20833,"Scombridae"," 31",1996
"41","Acanthocybium solandri",-48.75,14.26,"Scombridae"," 31",1995
"42","Acanthocybium solandri",-50.26,15.56,"Scombridae"," 31",1995
"43","Acanthocybium solandri",-48.58,6.23,"Scombridae"," 31",1998
"44","Acanthocybium solandri",-52.5,14.83,"Scombridae"," 31",1995
"45","Acanthocybium solandri",-51.63,15.06,"Scombridae"," 31",1995
"46","Acanthocybium solandri",-56.9,20.56,"Scombridae"," 31",1994
"47","Acanthocybium solandri",-61.2,19.81,"Scombridae"," 31",1992
"48","Acanthocybium solandri",-45,14.78,"Scombridae"," 31",2002
"49","Acanthocybium solandri",-50.48,15.45,"Scombridae"," 31",1994
"50","Acanthocybium solandri",-65.69167,20.73333,"Scombridae"," 31",2004
"51","Acanthocybium solandri",-51.16,18.5,"Scombridae"," 31",1995
"52","Acanthocybium solandri",-51.18,14.98,"Scombridae"," 31",1995
"53","Acanthocybium solandri",-60.56,19.68,"Scombridae"," 31",1999
"54","Acanthocybium solandri",-52.66,11.76,"Scombridae"," 31",1995
"55","Acanthocybium solandri",-48.98,10.05,"Scombridae"," 31",1996
"56","Acanthocybium solandri",-49.83,8.25,"Scombridae"," 31",1998
"57","Acanthocybium solandri",-40.5,8,"Scombridae"," 31",1996
