"species","Long","Lat","Family","FAO_AREA","Year"
"1","Acanthocybium solandri",113.25,-31.25,"Scombridae"," 57",2000
"2","Acanthocybium solandri",113.75,-31.75,"Scombridae"," 57",2000
"3","Acanthocybium solandri",110.25,-26.25,"Scombridae"," 57",2001
"4","Acanthocybium solandri",109.75,-26.25,"Scombridae"," 57",2001
"5","Acanthocybium solandri",109.75,-27.75,"Scombridae"," 57",2002
"6","Acanthocybium solandri",113.75,-30.75,"Scombridae"," 57",2001
"7","Acanthocybium solandri",110.25,-25.75,"Scombridae"," 57",2001
"8","Acanthocybium solandri",109.25,-24.75,"Scombridae"," 57",2001
"9","Acanthocybium solandri",109.25,-28.25,"Scombridae"," 57",2002
"10","Acanthocybium solandri",113.25,-30.75,"Scombridae"," 57",2000
"11","Acanthocybium solandri",106.25,-28.75,"Scombridae"," 57",2002
"12","Acanthocybium solandri",109.75,-24.75,"Scombridae"," 57",2001
"13","Acanthocybium solandri",113.75,-30.25,"Scombridae"," 57",2001
"14","Acanthocybium solandri",109.75,-24.25,"Scombridae"," 57",2002
"15","Acanthocybium solandri",109.75,-26.75,"Scombridae"," 57",2002
"16","Acanthocybium solandri",109.75,-25.25,"Scombridae"," 57",2001
"17","Acanthocybium solandri",109.75,-25.75,"Scombridae"," 57",2001
"18","Acanthocybium solandri",111.75,-30.25,"Scombridae"," 57",2002
"19","Acanthocybium solandri",110.75,-25.25,"Scombridae"," 57",2001
"20","Acanthocybium solandri",110.25,-25.25,"Scombridae"," 57",2002
"22","Acanthurus lineatus",105.6282,-12.4607,"Acanthuridae"," 57",2009
"25","Acropoma japonicum",35.25,-25.0832996368,"Acropomatidae"," 51",1988
"26","Acropoma japonicum",35.2525,-25.08999,"Acropomatidae"," 51",1988
"27","Ahliesaurus berryi",56.07866,-31.07866,"Notosudidae"," 51",2014
"28","Ahliesaurus berryi",46.7589,-38.5044,"Notosudidae"," 51",2009
"29","Alabes elongata",114.9833,-30.43333,"Gobiesocidae"," 57",1987
"30","Alabes gibbosa",114.9907,-30.29533,"Gobiesocidae"," 57",2003
"31","Aldrovandia phalacra",93.62,-31.03833,"Halosauridae"," 57",1999
"32","Alepisaurus ferox",103.398333,-14.085278,"Alepisauridae"," 57",2008
"35","Allocyttus verrucosus",35.478333,-25.471667,"Oreosomatidae"," 51",1988
"36","Allocyttus verrucosus",87.8,-25.68333,"Oreosomatidae"," 57",2001
"37","Allocyttus verrucosus",87.8,-25.683,"Oreosomatidae"," 57",2001
"38","Allothunnus fallai",100,-38,"Scombridae"," 57",2002
"39","Amphiprion clarkii",96.876879,-12.08856,"Pomacentridae"," 57",2009
"40","Antennarius commerson",96.881257,-12.08629,"Antennariidae"," 57",2018
"41","Aphanopus mikhailini",87.33333,-30.13333,"Trichiuridae"," 57",2015
"42","Argyropelecus aculeatus",57.296767,-32.7252,"Sternoptychidae"," 51",2009
"43","Argyropelecus aculeatus",46.76,-38.505,"Sternoptychidae"," 51",2009
"44","Argyropelecus gigas",52.053883,-36.85558,"Sternoptychidae"," 51",2009
"45","Argyropelecus hemigymnus",77.46667,-38.41667,"Sternoptychidae"," 51",1996
"46","Argyropelecus hemigymnus",77.85,-38.06667,"Sternoptychidae"," 51",1996
"47","Argyropelecus hemigymnus",77.51667,-37.7,"Sternoptychidae"," 51",1996
"48","Argyropelecus hemigymnus",77.45,-37.68333,"Sternoptychidae"," 51",1996
"49","Argyropelecus hemigymnus",77.56667,-37.95,"Sternoptychidae"," 51",1996
"50","Argyropelecus hemigymnus",50.403,-37.956,"Sternoptychidae"," 51",2009
"51","Argyropelecus hemigymnus",77.5,-38.26667,"Sternoptychidae"," 51",1996
"52","Argyropelecus hemigymnus",77.36667,-37.91667,"Sternoptychidae"," 51",1996
"53","Argyropelecus hemigymnus",77.8,-37.83333,"Sternoptychidae"," 51",1996
"54","Argyropelecus hemigymnus",77.55,-37.76667,"Sternoptychidae"," 51",1996
"55","Argyropelecus hemigymnus",77.51667,-37.68333,"Sternoptychidae"," 51",1996
"56","Argyropelecus hemigymnus",77.43333,-37.88334,"Sternoptychidae"," 51",1996
"57","Argyropelecus sladeni",68.06666667,12.9,"Sternoptychidae"," 51",2000
"58","Argyropelecus sladeni",69.76,7.173333,"Sternoptychidae"," 51",1995
"60","Aristostomias lunifer",77.517,-37.683,"Stomiidae"," 51",1986
"61","Astronesthes indicus",55.451667,16.78333,"Stomiidae"," 51",1995
"63","Astronesthes niger",58.5475997925,19.5139503479,"Stomiidae"," 51",1994
"64","Auxis thazard",54.37,3.42,"Scombridae"," 51",2002
"65","Avocettina paucipora",77.517,-38.767,"Nemichthyidae"," 51",1986
"66","Avocettina paucipora",77.516998291,-38.766998291,"Nemichthyidae"," 51",1986
"67","Balistoides viridescens",96.882591,-12.091696,"Balistidae"," 57",2007
"69","Barbourisia rufa",104.9666,-11.3513,"Barbourisiidae"," 57",2001
"70","Barbourisia rufa",104.9667,-11.35133,"Barbourisiidae"," 57",2001
"77","Bathophilus schizochirus",55.983333,0.433333,"Stomiidae"," 51",1988
"78","Bathygadus cottoides",114.4608,-30.65084,"Macrouridae"," 57",1991
"79","Bathygadus spongiceps",114.462,-30.6517,"Macrouridae"," 57",1991
"81","Bathylagus antarcticus",87.36667,-27.25,"Bathylagidae"," 57",1999
"82","Bathylagus antarcticus",87.366,-27.25,"Bathylagidae"," 57",1999
"85","Bathysaurus ferox",107.75414,-24.63142,"Bathysauridae"," 57",2008
"86","Bathysaurus ferox",93.62,-31.0383,"Bathysauridae"," 57",1999
"87","Bathysaurus ferox",86.175,-31.475,"Bathysauridae"," 57",2000
"91","Batrachomoeus rubricephalus",114.9667,-30.56667,"Batrachoididae"," 57",1985
"92","Bembrops platyrhynchus",56.1216659546,10.3020830154,"Percophidae"," 51",1988
"93","Bembrops platyrhynchus",56.09217222,17.36281111,"Percophidae"," 51",2007
"94","Benthosema fibulatum",35.136667,-25.50667,"Myctophidae"," 51",1988
"95","Benthosema fibulatum",58.9741516113,18.8741998672,"Myctophidae"," 51",1994
"96","Benthosema pterotum",57.806428,18.32058,"Myctophidae"," 51",2008
"97","Beryx decadactylus",46.78,-38.478,"Berycidae"," 51",2009
"98","Beryx decadactylus",86.15,-31.51667,"Berycidae"," 57",1999
"99","Beryx decadactylus",94.956,-31.498,"Berycidae"," 57",2002
"100","Beryx decadactylus",86.15,-31.5166,"Berycidae"," 57",1999
"101","Beryx mollis",56.0499992371,10.3000001907,"Berycidae"," 51",1983
"102","Beryx splendens",53.71,-35.12667,"Berycidae"," 51",1999
"103","Beryx splendens",78.033,-37.617,"Berycidae"," 51",1996
"104","Beryx splendens",78.0329971313,-37.6170005798,"Berycidae"," 51",1996
"105","Beryx splendens",52.074883,-36.81625,"Berycidae"," 51",2009
"106","Beryx splendens",57.314,-32.7,"Berycidae"," 51",2002
"107","Beryx splendens",47.3083,-38.95,"Berycidae"," 51",1999
"108","Beryx splendens",57.313999176,-32.7000007629,"Berycidae"," 51",2002
"109","Beryx splendens",47.30833,-38.95,"Berycidae"," 51",1999
"110","Beryx splendens",53.71,-35.1266,"Berycidae"," 51",1999
"111","Beryx splendens",94.95,-31.4,"Berycidae"," 57",1992
"112","Beryx splendens",94.966,-31.416,"Berycidae"," 57",1992
"113","Beryx splendens",87.21167,-34.97833,"Berycidae"," 57",1997
"114","Beryx splendens",87.211,-34.978,"Berycidae"," 57",1997
"115","Blenniella chrysospilos",96.85,-12.08333,"Blenniidae"," 57",1989
"116","Bodianus anthioides",96.861391,-12.08448,"Labridae"," 57",2010
"117","Bolinichthys indicus",77.3799972534,-37.9249992371,"Myctophidae"," 51",1986
"118","Bolinichthys longipes",61.406667,15.55167,"Myctophidae"," 51",1995
"119","Bolinichthys photothorax",74.25433,-26.03616,"Myctophidae"," 51",2014
"120","Bolinichthys supralateralis",64.83833,-23.27867,"Myctophidae"," 51",2014
"121","Bolinichthys supralateralis",64.83833,-23.27866,"Myctophidae"," 51",2014
"122","Borostomias antarcticus",69,5,"Stomiidae"," 51",1986
"123","Borostomias mononema",35.516667,-25.58333,"Stomiidae"," 51",1988
"124","Bovichtus veneris",77.6666641235,-37.9166679382,"Bovichtidae"," 51",1988
"127","Brama brama",112.75,-32.75,"Bramidae"," 57",2001
"128","Brama brama",111.75,-31.75,"Bramidae"," 57",2001
"129","Brama brama",114.25,-30.25,"Bramidae"," 57",2002
"130","Brama brama",112.75,-30.25,"Bramidae"," 57",2002
"131","Brama brama",112.75,-34.25,"Bramidae"," 57",2001
"132","Brama brama",110.75,-29.75,"Bramidae"," 57",2002
"133","Brama brama",112.25,-33.75,"Bramidae"," 57",2001
"134","Brama brama",112.25,-32.25,"Bramidae"," 57",2000
"135","Brama brama",112.25,-33.25,"Bramidae"," 57",2002
"136","Brama brama",113.75,-32.75,"Bramidae"," 57",2000
"137","Brama brama",113.75,-33.75,"Bramidae"," 57",2002
"138","Brama brama",112.75,-33.25,"Bramidae"," 57",2002
"139","Brama brama",112.25,-34.25,"Bramidae"," 57",2002
"140","Brama brama",111.75,-32.75,"Bramidae"," 57",2001
"141","Brama brama",111.75,-31.25,"Bramidae"," 57",2001
"142","Brama brama",113.25,-33.75,"Bramidae"," 57",2001
"143","Brama brama",113.25,-32.75,"Bramidae"," 57",2002
"144","Brama brama",113.0017,-32.99833,"Bramidae"," 57",1987
"145","Brama brama",111.25,-32.75,"Bramidae"," 57",2000
"146","Brama brama",112.25,-32.75,"Bramidae"," 57",2001
"147","Brama brama",112.25,-30.25,"Bramidae"," 57",2002
"148","Brama brama",112.25,-30.75,"Bramidae"," 57",2002
"149","Brama brama",114.25,-31.75,"Bramidae"," 57",2000
"150","Brama brama",112.75,-33.75,"Bramidae"," 57",2002
"151","Brama brama",110.25,-29.25,"Bramidae"," 57",2002
"152","Brama brama",111.75,-33.25,"Bramidae"," 57",2000
"153","Brama brama",112.25,-31.25,"Bramidae"," 57",2002
"154","Brama brama",113.75,-31.25,"Bramidae"," 57",2000
"155","Brama brama",112.75,-32.25,"Bramidae"," 57",2002
"156","Brama brama",113.25,-34.25,"Bramidae"," 57",2001
"157","Brama brama",113.75,-32.25,"Bramidae"," 57",2000
"158","Brama brama",111.25,-33.25,"Bramidae"," 57",2002
"159","Brama brama",114.25,-32.25,"Bramidae"," 57",2000
"160","Brama brama",113.75,-33.25,"Bramidae"," 57",2001
"161","Brama brama",111.75,-32.25,"Bramidae"," 57",2002
"162","Brama brama",110.25,-27.25,"Bramidae"," 57",2002
"163","Brama brama",112.75,-31.25,"Bramidae"," 57",2001
"164","Brama brama",110.25,-32.25,"Bramidae"," 57",2001
"165","Brama brama",112.75,-31.75,"Bramidae"," 57",2000
"166","Brama brama",113.25,-33.25,"Bramidae"," 57",2002
"167","Brama brama",112.75,-30.75,"Bramidae"," 57",2001
"168","Brama brama",113.25,-32.25,"Bramidae"," 57",2000
"169","Brama brama",113.001,-32.998,"Bramidae"," 57",1987
"170","Brama brama",113.25,-34.75,"Bramidae"," 57",2001
"172","Brotula multibarbata",58.4266014099,19.615149498,"Ophidiidae"," 51",1994
"173","Callionymus goodladi",114.9,-30.33333,"Callionymidae"," 57",2007
"174","Canthidermis maculata",60.633333,5.433333,"Balistidae"," 51",1995
"175","Caranx melampygus",96.8662,-12.20068,"Carangidae"," 57",2014
"176","Caristius fasciatus",77.6169967651,-38.5499992371,"Caristiidae"," 51",1996
"177","Caristius fasciatus",77.617,-38.55,"Caristiidae"," 51",1996
"178","Centrodraco lineatus",56.12528,10.30194,"Draconettidae"," 51",1988
"179","Centropyge eibli",96.877649,-12.085451,"Pomacanthidae"," 57",2014
"180","Cephalopholis miniata",96.841776,-12.09267,"Serranidae"," 57",2006
"181","Cephalopholis urodeta",96.877734,-12.086034,"Serranidae"," 57",2015
"182","Cephalopholis urodeta",96.833,-12.083,"Serranidae"," 57",1992
"183","Ceratias tentaculatus",47.68333,-38.46667,"Ceratiidae"," 51",2001
"184","Ceratias tentaculatus",47.683,-38.466,"Ceratiidae"," 51",2001
"185","Ceratoscopelus warmingii",57.274,-32.722,"Myctophidae"," 51",2009
"186","Ceratoscopelus warmingii",50.408867,-37.95728,"Myctophidae"," 51",2009
"187","Ceratoscopelus warmingii",50.421,-37.953,"Myctophidae"," 51",2009
"188","Ceratoscopelus warmingii",57.274133,-32.72188,"Myctophidae"," 51",2009
"189","Ceratoscopelus warmingii",57.288,-32.737,"Myctophidae"," 51",2009
"190","Ceratoscopelus warmingii",50.422717,-37.95845,"Myctophidae"," 51",2009
"191","Chaetodon auriga",96.84886,-12.08079,"Chaetodontidae"," 57",2015
"192","Chaetodon auriga",96.886172,-12.094861,"Chaetodontidae"," 57",2012
"193","Chaetodon ephippium",96.843832,-12.0909,"Chaetodontidae"," 57",2014
"194","Chaetodon ephippium",96.830994,-12.1913,"Chaetodontidae"," 57",1995
"195","Chaetodon kleinii",96.892512,-12.10642,"Chaetodontidae"," 57",2014
"196","Chaetodon madagaskariensis",96.88269,-12.086478,"Chaetodontidae"," 57",2015
"197","Chaetodon mitratus",96.85278,-12.15583,"Chaetodontidae"," 57",2015
"198","Chaetodon punctatofasciatus",96.847794,-12.07742,"Chaetodontidae"," 57",2011
"199","Chaetodon trifascialis",96.821498,-12.18526,"Chaetodontidae"," 57",2007
"200","Chaetodon trifascialis",105.6669,-12.6669,"Chaetodontidae"," 57",2009
"201","Chaetodon ulietensis",96.840031,-12.08403,"Chaetodontidae"," 57",2009
"202","Chascanopsetta lugubris",56.1291675568,10.3199996948,"Bothidae"," 51",1989
"203","Chascanopsetta lugubris",95.40083,-14.75133,"Bothidae"," 57",2001
"204","Chascanopsetta lugubris",95.4008,-14.7513,"Bothidae"," 57",2001
"206","Chauliodus pammelas",61.59,15.33667,"Stomiidae"," 51",1995
"207","Chauliodus sloani",50.376683,-37.9552,"Stomiidae"," 51",2009
"208","Chauliodus sloani",43.35,-40.7333,"Stomiidae"," 51",2000
"209","Chauliodus sloani",59.29741667,20.29741667,"Stomiidae"," 51",2007
"210","Chauliodus sloani",47.5833,-38.3667,"Stomiidae"," 51",2000
"211","Chauliodus sloani",47.55,-39.5,"Stomiidae"," 51",2000
"213","Chaunax russatus",47.7,-38.45,"Chaunacidae"," 51",2001
"214","Chaunax russatus",52.08333,-36.58333,"Chaunacidae"," 51",1999
"217","Cheilinus undulatus",40.3333015442,-25.8166999817,"Labridae"," 51",1984
"218","Cheilopogon furcatus",60.3166667,5.2666667,"Exocoetidae"," 51",1995
"219","Cheilopogon intermedius",55,-27.5,"Exocoetidae"," 51",1995
"220","Cheilopogon nigricans",59.841667,14.575,"Exocoetidae"," 51",1995
"221","Cheilopogon nigricans",58.2,18.9,"Exocoetidae"," 51",1995
"222","Chelidonichthys kumu",35.2525,-25.09,"Triglidae"," 51",1988
"223","Chiasmodon niger",87.37,-27.25,"Chiasmodontidae"," 57",2002
"224","Chiasmodon niger",88,9,"Chiasmodontidae"," 57",1986
"226","Chromis margaritifer",96.876276,-12.08828,"Pomacentridae"," 57",2009
"227","Chromis xouthos",95.3467,-5.794567,"Pomacentridae"," 57",2005
"231","Cirrhilabrus joanallenae",95.2572,-5.8805,"Labridae"," 57",1999
"232","Cirrhilabrus naokoae",98.821,-3.7888,"Labridae"," 57",2009
"234","Coelorinchus braueri",35.36666,-25.13333,"Macrouridae"," 51",1988
"235","Coelorinchus braueri",35.4966659546,-25.265832901,"Macrouridae"," 51",1988
"236","Coelorinchus braueri",35.37,-25.13667,"Macrouridae"," 51",1988
"237","Coelorinchus braueri",35.533333,-25.21667,"Macrouridae"," 51",1988
"238","Coelorinchus braueri",35.5332984924,-25.2166996002,"Macrouridae"," 51",1988
"239","Coelorinchus braueri",35.53333,-25.23333,"Macrouridae"," 51",1988
"241","Coelorinchus kaiyomaru",45.533,-40.416,"Macrouridae"," 51",1999
"242","Coelorinchus karrerae",41.4333000183,-39.3833007812,"Macrouridae"," 51",2000
"243","Coelorinchus vityazae",42.9000015259,-41.4000015259,"Macrouridae"," 51",1996
"244","Coelorinchus vityazae",77.483,-38.633,"Macrouridae"," 51",1986
"245","Coelorinchus vityazae",77.483001709,-38.6329994202,"Macrouridae"," 51",1986
"246","Coloconger scholesi",35.4967,-25.2658,"Colocongridae"," 51",1988
"247","Coloconger scholesi",35.49667,-25.26583,"Colocongridae"," 51",1988
"248","Coloconger scholesi",35.49666,-25.26583,"Colocongridae"," 51",1988
"249","Coryphaena equiselis",61.391667,15.625,"Coryphaenidae"," 51",1995
"250","Coryphaena hippurus",61.341667,15.525,"Coryphaenidae"," 51",1995
"251","Coryphaena hippurus",110.25,-24.25,"Coryphaenidae"," 57",2000
"252","Coryphaena hippurus",110.25,-24.75,"Coryphaenidae"," 57",2002
"253","Coryphaena hippurus",111.25,-31.75,"Coryphaenidae"," 57",2001
"254","Coryphaena hippurus",110.25,-31.75,"Coryphaenidae"," 57",2001
"255","Coryphaena hippurus",113.25,-30.25,"Coryphaenidae"," 57",2000
"256","Coryphaena hippurus",109.25,-25.75,"Coryphaenidae"," 57",2002
"257","Coryphaena hippurus",109.25,-26.25,"Coryphaenidae"," 57",2002
"258","Coryphaena hippurus",111.25,-31.25,"Coryphaenidae"," 57",2001
"259","Coryphaena hippurus",111.75,-30.75,"Coryphaenidae"," 57",2000
"260","Coryphaena hippurus",109.25,-27.75,"Coryphaenidae"," 57",2002
"261","Coryphaena hippurus",109.75,-29.25,"Coryphaenidae"," 57",2002
"262","Coryphaena hippurus",111.25,-30.75,"Coryphaenidae"," 57",2002
"263","Coryphaena hippurus",111.25,-32.25,"Coryphaenidae"," 57",2001
"264","Coryphaena hippurus",110.75,-32.25,"Coryphaenidae"," 57",2001
"265","Coryphaena hippurus",110.25,-26.75,"Coryphaenidae"," 57",2002
"266","Coryphaena hippurus",109.75,-30.25,"Coryphaenidae"," 57",2002
"267","Coryphaena hippurus",110.75,-32.75,"Coryphaenidae"," 57",2001
"268","Coryphaena hippurus",111.75,-34.25,"Coryphaenidae"," 57",2002
"269","Coryphaena hippurus",111.75,-33.75,"Coryphaenidae"," 57",2002
"270","Coryphaena hippurus",110.75,-24.25,"Coryphaenidae"," 57",2000
"273","Coryphaenoides serrulatus",87.31667,-30.16667,"Macrouridae"," 57",1999
"274","Coryphaenoides serrulatus",87.316,-30.166,"Macrouridae"," 57",1999
"275","Coryphaenoides striaturus",35.416667,-25.56667,"Macrouridae"," 51",1988
"276","Cryptopsaras couesii",52.14333,-36.685,"Ceratiidae"," 51",2001
