"species","Long","Lat","Family","FAO_AREA","Year"
"1","Abalistes filamentosus",98.3784,7.60832,"Balistidae"," 57",2011
"2","Abalistes stellaris",119.713173,-8.620684,"Balistidae"," 57",2016
"3","Abalistes stellatus",70.379997,20.89,"Balistidae"," 51",2012
"4","Abalistes stellatus",104.148,2.87592,"Balistidae"," 71",2013
"5","Ablabys binotatus",47.45,3.8333,"Tetrarogidae"," 51",1991
"6","Ablabys binotatus",39.378828,-4.658149,"Tetrarogidae"," 51",2019
"7","Ablabys taenianotus",119.65887,-8.546262,"Tetrarogidae"," 57",2016
"8","Ablennes hians",35.4981,-21.5514,"Belonidae"," 51",2007
"9","Ablennes hians",39.889,-7.954,"Belonidae"," 51",2006
"10","Ablennes hians",60.166667,22.68333,"Belonidae"," 51",1995
"11","Abudefduf bengalensis",73.776758,15.34963,"Pomacentridae"," 51",2020
"12","Abudefduf bengalensis",99.256605,7.303416,"Pomacentridae"," 57",2020
"13","Abudefduf bengalensis",101.44558,12.5462,"Pomacentridae"," 71",2021
"14","Abudefduf lorenzi",116.00695,5.974516,"Pomacentridae"," 71",2019
"15","Abudefduf margariteus",55.54547,-21.372,"Pomacentridae"," 51",2013
"16","Abudefduf natalensis",35.5029,-24.1037,"Pomacentridae"," 51",2014
"18","Abudefduf septemfasciatus",40.558628,-12.14759,"Pomacentridae"," 51",2019
"19","Abudefduf septemfasciatus",55.519068,-21.35864,"Pomacentridae"," 51",2020
"20","Abudefduf septemfasciatus",55.370998,-4.6403,"Pomacentridae"," 51",2005
"21","Abudefduf septemfasciatus",49.958909,-15.722161,"Pomacentridae"," 51",2016
"22","Abudefduf septemfasciatus",115.149802,-8.740501,"Pomacentridae"," 57",2019
"23","Abudefduf septemfasciatus",115.581064,-8.516818,"Pomacentridae"," 57",2011
"24","Abudefduf septemfasciatus",110.425443,-8.157006,"Pomacentridae"," 57",2019
"25","Abudefduf septemfasciatus",177.184146,-17.17328,"Pomacentridae"," 71",2018
"26","Abudefduf sexfasciatus",41.016749,-2.214597,"Pomacentridae"," 51",2020
"27","Abudefduf sexfasciatus",40.133974,-3.232555,"Pomacentridae"," 51",2017
"28","Abudefduf sexfasciatus",57.775578,-20.182819,"Pomacentridae"," 51",2019
"29","Abudefduf sexfasciatus",39.515543,-6.146151,"Pomacentridae"," 51",2019
"30","Abudefduf sexfasciatus",55.371,-4.6403,"Pomacentridae"," 51",2005
"31","Abudefduf sexfasciatus",63.3492,-19.6472,"Pomacentridae"," 51",2001
"32","Abudefduf sexfasciatus",48.236414,-13.48266,"Pomacentridae"," 51",2018
"33","Abudefduf sexfasciatus",47.951888,-13.504086,"Pomacentridae"," 51",2010
"34","Abudefduf sexfasciatus",39.18833,-6.160196,"Pomacentridae"," 51",2019
"35","Abudefduf sexfasciatus",39.549999,-6.27,"Pomacentridae"," 51",2010
"36","Abudefduf sexfasciatus",57.752901,-20.14071,"Pomacentridae"," 51",2021
"37","Abudefduf sexfasciatus",39.7609,-3.98587,"Pomacentridae"," 51",2010
"38","Abudefduf sexfasciatus",40.002432,-3.372409,"Pomacentridae"," 51",2020
"39","Abudefduf sexfasciatus",48.187876,-13.2481,"Pomacentridae"," 51",2016
"40","Abudefduf sexfasciatus",48.18155,-13.24906,"Pomacentridae"," 51",1988
"41","Abudefduf sexfasciatus",48.19137,-13.249,"Pomacentridae"," 51",1988
"42","Abudefduf sexfasciatus",57.75,-20.1333,"Pomacentridae"," 51",1995
"43","Abudefduf sexfasciatus",116.009003,6.008683,"Pomacentridae"," 71",2019
"44","Abudefduf sexfasciatus",177.352547,-17.573511,"Pomacentridae"," 71",2019
"45","Abudefduf sexfasciatus",106.548719,-5.598783,"Pomacentridae"," 71",2020
"46","Abudefduf sexfasciatus",102.742788,5.904358,"Pomacentridae"," 71",2016
"47","Abudefduf sexfasciatus",119.669797,11.30329,"Pomacentridae"," 71",2017
"48","Abudefduf sexfasciatus",116.323921,6.712966,"Pomacentridae"," 71",2019
"49","Abudefduf sexfasciatus",168.214733,-17.77327,"Pomacentridae"," 71",2018
"50","Abudefduf sexfasciatus",144.703563,13.47214,"Pomacentridae"," 71",2014
"51","Abudefduf sexfasciatus",116.340683,6.713993,"Pomacentridae"," 71",2019
"52","Abudefduf sexfasciatus",177.196581,-17.79745,"Pomacentridae"," 71",2017
"53","Abudefduf sexfasciatus",178.084759,-18.30915,"Pomacentridae"," 71",2018
"54","Abudefduf sexfasciatus",178.100895,-18.38128,"Pomacentridae"," 71",2017
"55","Abudefduf sexfasciatus",178.471783,-18.1815,"Pomacentridae"," 71",2002
"56","Abudefduf sexfasciatus",116.32328,6.709637,"Pomacentridae"," 71",2019
"57","Abudefduf sexfasciatus",178.471833,-18.1815,"Pomacentridae"," 71",2002
"58","Abudefduf sexfasciatus",116.00901,6.008487,"Pomacentridae"," 71",2019
"59","Abudefduf sordidus",63.493889,-19.72222,"Pomacentridae"," 51",2001
"60","Abudefduf sordidus",57.808212,-20.27259,"Pomacentridae"," 51",2018
"61","Abudefduf sordidus",55.4727783203,-4.5552778244,"Pomacentridae"," 51",1989
"62","Abudefduf sordidus",69.61666667,22.38333333,"Pomacentridae"," 51",2011
"63","Abudefduf sordidus",72.4,-6.56666666667,"Pomacentridae"," 51",1987
"64","Abudefduf sordidus",56.239357,26.21829,"Pomacentridae"," 51",2017
"65","Abudefduf sordidus",55.47277778,-4.555277778,"Pomacentridae"," 51",1989
"66","Abudefduf sordidus",72.4,-6.566666667,"Pomacentridae"," 51",1987
"67","Abudefduf sordidus",54.79171,16.94408,"Pomacentridae"," 51",2018
"68","Abudefduf sordidus",72.4000015259,-6.56666660309,"Pomacentridae"," 51",1987
"69","Abudefduf sordidus",55.732207,-4.285301,"Pomacentridae"," 51",2010
"70","Abudefduf sordidus",98.4125,7.800556,"Pomacentridae"," 57",1993
"71","Abudefduf sordidus",99.26445,6.514488,"Pomacentridae"," 57",2020
"72","Abudefduf sordidus",98.4125,7.800555556,"Pomacentridae"," 57",1993
"73","Abudefduf sordidus",98.4124984741,7.80055570602,"Pomacentridae"," 57",1993
"74","Abudefduf sordidus",98.4125,7.80055555556,"Pomacentridae"," 57",1993
"75","Abudefduf sordidus",179.0882,-16.23817,"Pomacentridae"," 71",2002
"76","Abudefduf sordidus",145.4171777,19.68443055,"Pomacentridae"," 71",2014
"77","Abudefduf sordidus",129.783529,-4.522519,"Pomacentridae"," 71",2016
"78","Abudefduf sordidus",178.51,-18.73694,"Pomacentridae"," 71",1983
"79","Abudefduf sordidus",145.784243,15.14977,"Pomacentridae"," 71",2016
"80","Abudefduf sordidus",99.8359,10.1212,"Pomacentridae"," 71",2013
"81","Abudefduf sparoides",39.995097,-3.378967,"Pomacentridae"," 51",2013
"82","Abudefduf sparoides",40.006513,-3.369802,"Pomacentridae"," 51",2021
"83","Abudefduf sparoides",57.753012,-20.14071,"Pomacentridae"," 51",2021
"84","Abudefduf sparoides",57.414023,-20.510642,"Pomacentridae"," 51",2018
"85","Abudefduf sparoides",57.410816,-20.50826,"Pomacentridae"," 51",2018
"86","Abudefduf sparoides",43.590858,-23.145744,"Pomacentridae"," 51",2016
"87","Abudefduf vaigiensis",72.965383,3.758816,"Pomacentridae"," 51",2019
"88","Abudefduf vaigiensis",43.583101,-23.13064,"Pomacentridae"," 51",2012
"89","Abudefduf vaigiensis",73.506667,4.43385,"Pomacentridae"," 51",2010
"90","Abudefduf vaigiensis",73.441581,-0.308662,"Pomacentridae"," 51",2019
"91","Abudefduf vaigiensis",73.414374,4.590223,"Pomacentridae"," 51",2015
"92","Abudefduf vaigiensis",57.752557,-20.11747,"Pomacentridae"," 51",2019
"93","Abudefduf vaigiensis",73.012855,2.975085,"Pomacentridae"," 51",2011
"94","Abudefduf vaigiensis",39.598117,-4.294498,"Pomacentridae"," 51",2013
"95","Abudefduf vaigiensis",55.838188,-4.383029,"Pomacentridae"," 51",2014
"96","Abudefduf vaigiensis",39.381012,-4.658769,"Pomacentridae"," 51",2016
"97","Abudefduf vaigiensis",39.9763,-3.389482,"Pomacentridae"," 51",2020
"98","Abudefduf vaigiensis",43.604383,-23.646385,"Pomacentridae"," 51",2013
